entity_id	total_population	buddhist	hindu	islam	roman_catholic	other_christian	other
EC-10D	82501.0	355.0	70868.0	83.0	7101.0	4092.0	2.0
EC-10E	76997.0	184.0	70040.0	119.0	4211.0	2434.0	9.0
EC-10F	51768.0	158.0	49359.0	21.0	1471.0	749.0	10.0
EC-10G	41527.0	181.0	34397.0	40.0	6019.0	880.0	10.0
EC-10H	62865.0	151.0	58173.0	63.0	2424.0	2049.0	5.0
EC-10I	68142.0	273.0	61569.0	91.0	3453.0	2748.0	8.0
EC-10J	50491.0	136.0	19033.0	1732.0	26700.0	2884.0	6.0
EC-10K	113510.0	1275.0	92986.0	700.0	12063.0	6436.0	50.0
EC-11A	99570.0	1809.0	24027.0	16512.0	52415.0	4790.0	17.0
EC-11B	172060.0	16799.0	119400.0	11972.0	15305.0	8498.0	86.0
EC-11C	92193.0	8140.0	69377.0	1880.0	9063.0	3664.0	69.0
EC-12A	156571.0	1230.0	95919.0	47967.0	2670.0	8773.0	12.0
EC-12B	242663.0	3375.0	125792.0	82231.0	19940.0	11307.0	18.0
EC-12C	121755.0	1650.0	115844.0	41.0	1730.0	2468.0	22.0
EC-13A	221771.0	219144.0	279.0	886.0	866.0	589.0	7.0
EC-13B	112524.0	1589.0	17628.0	90903.0	1826.0	573.0	5.0
EC-13C	98963.0	374.0	24193.0	71201.0	1904.0	1281.0	10.0
EC-13D	210955.0	30305.0	60645.0	114057.0	2843.0	3097.0	8.0
EC-14A	103849.0	74181.0	15569.0	12746.0	459.0	880.0	14.0
EC-14B	134252.0	21217.0	59639.0	34891.0	12508.0	5944.0	53.0
EC-14C	134621.0	2061.0	23032.0	107074.0	1516.0	935.0	3.0
EC-15A	127763.0	119479.0	205.0	6714.0	787.0	561.0	17.0
EC-15B	119583.0	107569.0	282.0	9607.0	1807.0	309.0	9.0
EC-15C	138872.0	133952.0	289.0	3429.0	780.0	388.0	34.0
EC-15D	125098.0	114355.0	753.0	8499.0	1119.0	367.0	5.0
EC-15E	97642.0	94240.0	265.0	1645.0	1315.0	176.0	1.0
EC-15F	93748.0	81619.0	286.0	9126.0	2485.0	228.0	4.0
EC-15G	114580.0	91912.0	405.0	7357.0	13907.0	993.0	6.0
EC-15H	124225.0	107649.0	835.0	7205.0	7616.0	900.0	20.0
EC-15I	131378.0	105788.0	772.0	19146.0	4836.0	824.0	12.0
EC-15J	119946.0	114838.0	445.0	3444.0	864.0	352.0	3.0
EC-15K	98962.0	89238.0	1351.0	6097.0	1612.0	655.0	9.0
EC-15L	115017.0	95659.0	2849.0	10394.0	4115.0	1982.0	18.0
EC-15M	116708.0	94037.0	3629.0	15123.0	1955.0	1943.0	21.0
EC-15N	88714.0	75598.0	2346.0	10022.0	497.0	240.0	11.0
EC-16A	217036.0	21722.0	14852.0	127526.0	49322.0	2550.0	1064.0
EC-16B	147182.0	120094.0	2036.0	7414.0	16371.0	1250.0	17.0
EC-16C	150084.0	82437.0	6155.0	7755.0	49907.0	3788.0	42.0
EC-16D	113223.0	51417.0	1469.0	6643.0	51662.0	2012.0	20.0
EC-16E	129242.0	53385.0	1521.0	494.0	71388.0	2435.0	19.0
EC-17A	117151.0	106609.0	129.0	9647.0	574.0	152.0	40.0
EC-17B	109131.0	89394.0	221.0	19044.0	251.0	218.0	3.0
EC-17C	117052.0	110657.0	344.0	4334.0	1197.0	516.0	4.0
EC-17D	140272.0	129195.0	623.0	8345.0	1388.0	715.0	6.0
EC-17E	160127.0	150341.0	223.0	7166.0	1102.0	1289.0	6.0
EC-17F	85760.0	74814.0	239.0	9450.0	1066.0	185.0	6.0
EC-17G	106252.0	92706.0	1345.0	11037.0	699.0	458.0	7.0
EC-18A	108204.0	105785.0	232.0	678.0	1166.0	333.0	10.0
EC-18B	102027.0	89927.0	44.0	11543.0	383.0	128.0	2.0
EC-18C	195857.0	168517.0	6610.0	18244.0	1643.0	815.0	28.0
EC-19A	127394.0	124761.0	182.0	1894.0	238.0	283.0	36.0
EC-19B	65365.0	57376.0	6628.0	861.0	247.0	204.0	49.0
EC-19C	80188.0	40177.0	32462.0	3707.0	2576.0	1258.0	8.0
EC-19D	75042.0	51643.0	13496.0	7760.0	1296.0	834.0	13.0
EC-19E	88591.0	56962.0	25509.0	4133.0	1194.0	784.0	9.0
EC-19F	77998.0	65338.0	9614.0	2239.0	505.0	301.0	1.0
EC-19G	102802.0	72535.0	11720.0	17143.0	840.0	559.0	5.0
EC-19H	110683.0	77225.0	23857.0	5548.0	2731.0	1303.0	19.0
EC-19I	85362.0	44590.0	33420.0	3904.0	2342.0	1075.0	31.0
EC-20A	107448.0	100094.0	943.0	5969.0	260.0	177.0	5.0
EC-20B	143663.0	130756.0	9591.0	2215.0	837.0	248.0	16.0
