id	dsd_id	name	province_id	district_id	centroid	population
LK-2157	LK-2157	Pasbage Korale	LK-2	LK-21	[7.0182766796484035, 80.53651314248764]	59917.0
LK-2203	LK-2203	Galewela	LK-2	LK-22	[7.778477740957059, 80.57106816573399]	70042.0
LK-2206	LK-2206	Dambulla	LK-2	LK-22	[7.875422487417454, 80.7194172587274]	72306.0
LK-2209	LK-2209	Naula	LK-2	LK-22	[7.687969326583896, 80.7081333337105]	30884.0
LK-2212	LK-2212	Pallepola	LK-2	LK-22	[7.646754412737143, 80.59868640760745]	29565.0
LK-2215	LK-2215	Yatawatta	LK-2	LK-22	[7.549686851214856, 80.58889958252054]	30242.0
LK-2218	LK-2218	Matale	LK-2	LK-22	[7.540340032306389, 80.6295171573196]	74864.0
LK-2221	LK-2221	Ambanganga Korale	LK-2	LK-22	[7.561394235108593, 80.677634072612]	15643.0
LK-2224	LK-2224	Laggala-Pallegama	LK-2	LK-22	[7.5550116472846405, 80.8088905671487]	12110.0
LK-2227	LK-2227	Wilgamuwa	LK-2	LK-22	[7.60434085158159, 80.92947763704316]	29494.0
LK-2230	LK-2230	Rattota	LK-2	LK-22	[7.4858984231496155, 80.68608789920096]	51354.0
LK-2233	LK-2233	Ukuwela	LK-2	LK-22	[7.429036328556947, 80.6375754969511]	68027.0
LK-2303	LK-2303	Kothmale	LK-2	LK-23	[7.039128846177057, 80.65528016156591]	101180.0
LK-2306	LK-2306	Hanguranketha	LK-2	LK-23	[7.119636400302393, 80.77799076311992]	88528.0
LK-2309	LK-2309	Walapane	LK-2	LK-23	[7.093550733891795, 80.88683632527541]	104119.0
LK-2312	LK-2312	Nuwara Eliya	LK-2	LK-23	[6.906816015670728, 80.73212789236045]	212094.0
LK-2315	LK-2315	Ambagamuwa	LK-2	LK-23	[6.864226383407168, 80.56942769404647]	205723.0
LK-3103	LK-3103	Bentota	LK-3	LK-31	[6.386771975717143, 80.05545355870764]	49975.0
LK-3106	LK-3106	Balapitiya	LK-3	LK-31	[6.314060959070231, 80.05115354516926]	67432.0
LK-3109	LK-3109	Karandeniya	LK-3	LK-31	[6.301087413192987, 80.10061874851105]	62498.0
LK-3112	LK-3112	Elpitiya	LK-3	LK-31	[6.290277918195704, 80.18658982736993]	64726.0
LK-3115	LK-3115	Niyagama	LK-3	LK-31	[6.302457594558357, 80.25233840769593]	35574.0
LK-3118	LK-3118	Thawalama	LK-3	LK-31	[6.29295932332512, 80.35558372569935]	32609.0
LK-3121	LK-3121	Neluwa	LK-3	LK-31	[6.360283867102838, 80.41071259627007]	28640.0
LK-3124	LK-3124	Nagoda	LK-3	LK-31	[6.199739712733205, 80.31290137681603]	53829.0
LK-3127	LK-3127	Baddegama	LK-3	LK-31	[6.13685768970644, 80.22055720683838]	75008.0
LK-3130	LK-3130	Welivitiya-Divithura	LK-3	LK-31	[6.20638032640722, 80.18032796921621]	29347.0
LK-3133	LK-3133	Ambalangoda	LK-3	LK-31	[6.222222000512812, 80.10267808241296]	56961.0
LK-3134	LK-3134	Gonapeenuwala	LK-3	LK-31	[6.166248498058241, 80.13156464139583]	21755.0
LK-3136	LK-3136	Hikkaduwa	LK-3	LK-31	[6.140331955161218, 80.12245026277215]	101909.0
LK-3139	LK-3139	Galle Four Gravets	LK-3	LK-31	[6.053681024321891, 80.20836801009342]	101749.0
LK-3142	LK-3142	Bope-Poddala	LK-3	LK-31	[6.084365273477462, 80.21689623684011]	50331.0
LK-3145	LK-3145	Akmeemana	LK-3	LK-31	[6.059003322018881, 80.28362427726836]	77776.0
LK-3148	LK-3148	Yakkalamulla	LK-3	LK-31	[6.106635865375348, 80.35940180563875]	45946.0
LK-3151	LK-3151	Imaduwa	LK-3	LK-31	[6.032726326341831, 80.35779657453912]	44880.0
LK-3154	LK-3154	Habaraduwa	LK-3	LK-31	[6.00145329968298, 80.32015635923044]	62389.0
LK-3203	LK-3203	Pitabeddara	LK-3	LK-32	[6.239243179670273, 80.47272226590906]	51186.0
LK-3206	LK-3206	Kotapola	LK-3	LK-32	[6.322860901619077, 80.53939855497605]	63255.0
LK-3209	LK-3209	Pasgoda	LK-3	LK-32	[6.275885369079915, 80.60835698742476]	59160.0
LK-3212	LK-3212	Mulatiyana	LK-3	LK-32	[6.14691551310665, 80.58650846902188]	50261.0
LK-3215	LK-3215	Athuraliya	LK-3	LK-32	[6.117275738008304, 80.50863402416795]	32304.0
LK-3218	LK-3218	Akuressa	LK-3	LK-32	[6.135035112544876, 80.4399980492466]	52912.0
LK-3221	LK-3221	Welipitiya	LK-3	LK-32	[6.016564042200551, 80.43852213930239]	52098.0
LK-3224	LK-3224	Malimbada	LK-3	LK-32	[6.019428902592921, 80.49826098062039]	34856.0
LK-3227	LK-3227	Kamburupitiya	LK-3	LK-32	[6.066382157196571, 80.56138809532823]	40969.0
LK-3230	LK-3230	Hakmana	LK-3	LK-32	[6.09486593872584, 80.65003991104913]	31648.0
LK-3233	LK-3233	Kirinda Puhulwella	LK-3	LK-32	[6.046120168667497, 80.63712611176192]	20291.0
LK-3236	LK-3236	Thihagoda	LK-3	LK-32	[6.009613068461897, 80.56031516177033]	33535.0
LK-3239	LK-3239	Weligama	LK-3	LK-32	[5.967343487285244, 80.44404850430338]	72843.0
LK-3242	LK-3242	Matara Four Gravets	LK-3	LK-32	[5.962921860320354, 80.56195148748671]	115805.0
LK-3245	LK-3245	Devinuwara	LK-3	LK-32	[5.975776741428382, 80.61481699226245]	48253.0
LK-3248	LK-3248	Dickwella	LK-3	LK-32	[5.985143946712043, 80.67363104318929]	54672.0
LK-3303	LK-3303	Sooriyawewa	LK-3	LK-33	[6.291737637179872, 81.01410563053044]	43102.0
LK-3306	LK-3306	Lunugamvehera	LK-3	LK-33	[6.332059486589869, 81.16634372976792]	31559.0
LK-3309	LK-3309	Thissamaharama	LK-3	LK-33	[6.380422563956708, 81.45356961945737]	68606.0
LK-3312	LK-3312	Hambantota	LK-3	LK-33	[6.204841518079357, 81.12158519430682]	57264.0
LK-3315	LK-3315	Ambalantota	LK-3	LK-33	[6.16105244320122, 80.96309160356928]	72943.0
LK-3318	LK-3318	Angunakolapelessa	LK-3	LK-33	[6.1931796037650155, 80.85191246472975]	48301.0
LK-3321	LK-3321	Weeraketiya	LK-3	LK-33	[6.172030318789979, 80.77200189490418]	41565.0
LK-3324	LK-3324	Katuwana	LK-3	LK-33	[6.263725510620791, 80.71572062976972]	46772.0
LK-3325	LK-3325	Walasmulla	LK-3	LK-33	[6.199614627706818, 80.68175765863133]	42274.0
LK-3327	LK-3327	Okewela	LK-3	LK-33	[6.130431667999994, 80.69309647778591]	19018.0
LK-3330	LK-3330	Beliatta	LK-3	LK-33	[6.051034541158266, 80.72053041232051]	55992.0
LK-3333	LK-3333	Tangalle	LK-3	LK-33	[6.071985846030383, 80.82617762867417]	72507.0
LK-4103	LK-4103	Island North (Kayts)	LK-4	LK-41	[9.675508618125493, 79.84993356089545]	9876.0
