id	lg_id	name	province_id	district_id	centroid	population
LG-21019	LG-21019	Gampola UC	LK-2	LK-21	[7.168177, 80.56557]	37871
LG-21020	LG-21020	Ganga Ihala Korale PS	LK-2	LK-21	[7.110976, 80.515356]	55254
LG-21021	LG-21021	Pasbage Korale PS	LK-2	LK-21	[7.015276, 80.535972]	38981
LG-21022	LG-21022	Nawalapitiya UC	LK-2	LK-21	[7.045448, 80.541417]	20936
LG-22001	LG-22001	Galewela PS	LK-2	LK-22	[7.778478, 80.571068]	70042
LG-22002	LG-22002	Dambulla PS	LK-2	LK-22	[7.877606, 80.728389]	48492
LG-22003	LG-22003	Dambulla MC	LK-2	LK-22	[7.860176, 80.656769]	23814
LG-22004	LG-22004	Naula PS	LK-2	LK-22	[7.687969, 80.708133]	30884
LG-22005	LG-22005	Pallepola PS	LK-2	LK-22	[7.646754, 80.598686]	29565
LG-22006	LG-22006	Yatawatta PS	LK-2	LK-22	[7.549687, 80.5889]	30242
LG-22007	LG-22007	Matale PS	LK-2	LK-22	[7.548171, 80.630247]	42944
LG-22008	LG-22008	Matale MC	LK-2	LK-22	[7.469703, 80.622932]	31920
LG-22009	LG-22009	Ambanganga Korale PS	LK-2	LK-22	[7.561394, 80.677634]	15643
LG-22010	LG-22010	Laggala-Pallegama PS	LK-2	LK-22	[7.55578, 80.813991]	12533
LG-22011	LG-22011	Wilgamuwa PS	LK-2	LK-22	[7.607741, 80.9329]	29071
LG-22012	LG-22012	Rattota PS	LK-2	LK-22	[7.485898, 80.686088]	51354
LG-22013	LG-22013	Ukuwela PS	LK-2	LK-22	[7.429036, 80.637575]	68027
LG-23001	LG-23001	Kothmale PS	LK-2	LK-23	[7.039129, 80.65528]	101180
LG-23002	LG-23002	Hanguranketha PS	LK-2	LK-23	[7.119636, 80.777991]	88528
LG-23003	LG-23003	Walapone PS	LK-2	LK-23	[7.093551, 80.886836]	104119
LG-23004	LG-23004	Kotagala PS	LK-2	LK-23	[6.945245, 80.638886]	51369
LG-23005	LG-23005	Agarapatana PS	LK-2	LK-23	[6.864287, 80.70951]	59596
LG-23006	LG-23006	Nuwara Eliya PS	LK-2	LK-23	[6.91439, 80.778661]	86839
LG-23007	LG-23007	Thalawakele-Lindula UC	LK-2	LK-23	[6.929344, 80.672213]	7076
LG-23008	LG-23008	Nuwara Eliya MC	LK-2	LK-23	[6.964231, 80.775159]	7214
LG-23009	LG-23009	Ambagamuwa PS	LK-2	LK-23	[6.913756, 80.517276]	86405
LG-23010	LG-23010	Maskeliya PS	LK-2	LK-23	[6.818886, 80.562205]	44348
LG-23011	LG-23011	Hatton - Dickoya UC	LK-2	LK-23	[6.887967, 80.573226]	3762
LG-23012	LG-23012	Norwood PS	LK-2	LK-23	[6.817397, 80.661171]	71208
LG-31001	LG-31001	Bentota PS	LK-3	LK-31	[6.386772, 80.055454]	49975
LG-31002	LG-31002	Balapitiya PS	LK-3	LK-31	[6.314061, 80.051154]	67432
LG-31003	LG-31003	Karandeniya PS	LK-3	LK-31	[6.301087, 80.100619]	62498
LG-31004	LG-31004	Elpitiya PS	LK-3	LK-31	[6.290278, 80.18659]	64726
LG-31005	LG-31005	Niyagama PS	LK-3	LK-31	[6.302458, 80.252338]	35574
LG-31006	LG-31006	Thawalama PS	LK-3	LK-31	[6.292959, 80.355584]	32609
LG-31007	LG-31007	Neluwa PS	LK-3	LK-31	[6.360284, 80.410713]	28640
LG-31008	LG-31008	Nagoda PS	LK-3	LK-31	[6.19974, 80.312901]	53829
LG-31009	LG-31009	Baddegama PS	LK-3	LK-31	[6.136858, 80.220557]	75008
LG-31010	LG-31010	Welivitiya-Divithura PS	LK-3	LK-31	[6.20638, 80.180328]	29347
LG-31011	LG-31011	Ambalangoda MC	LK-3	LK-31	[6.243161, 80.066273]	19990
LG-31012	LG-31012	Ambalangoda PS	LK-3	LK-31	[6.19885, 80.11731]	58726
LG-31013	LG-31013	Rathgama PS	LK-3	LK-31	[6.143386, 80.122833]	74834
LG-31014	LG-31014	Hikkaduwa UC	LK-3	LK-31	[6.128471, 80.120963]	27075
LG-31015	LG-31015	Bope-Poddala PS	LK-3	LK-31	[6.082467, 80.211859]	65747
LG-31016	LG-31016	Galle MC	LK-3	LK-31	[6.048472, 80.215499]	86333
LG-31017	LG-31017	Akmeemana PS	LK-3	LK-31	[6.059003, 80.283624]	77776
LG-31018	LG-31018	Yakkalamulla PS	LK-3	LK-31	[6.106636, 80.359402]	45946
LG-31019	LG-31019	Imaduwa PS	LK-3	LK-31	[6.032726, 80.357797]	44880
LG-31020	LG-31020	Habaraduwa PS	LK-3	LK-31	[6.001453, 80.320156]	62389
LG-32001	LG-32001	Pitabeddara PS	LK-3	LK-32	[6.239243, 80.472722]	51186
LG-32002	LG-32002	Kotapola PS	LK-3	LK-32	[6.322861, 80.539399]	63255
LG-32003	LG-32003	Pasgoda PS	LK-3	LK-32	[6.275885, 80.608357]	59160
LG-32004	LG-32004	Mulatiyana PS	LK-3	LK-32	[6.146915, 80.586508]	50261
LG-32005	LG-32005	Athuraliya PS	LK-3	LK-32	[6.117276, 80.508634]	32304
LG-32006	LG-32006	Akuressa PS	LK-3	LK-32	[6.135035, 80.439998]	52912
LG-32007	LG-32007	Weligama PS	LK-3	LK-32	[5.99903, 80.441518]	102564
LG-32008	LG-32008	Malimbada PS	LK-3	LK-32	[6.019429, 80.498261]	34856
LG-32009	LG-32009	Kamburupitiya PS	LK-3	LK-32	[6.066378, 80.561383]	40969
LG-32010	LG-32010	Hakmana PS	LK-3	LK-32	[6.094866, 80.65004]	31648
LG-32011	LG-32011	Kirinda Puhulwella PS	LK-3	LK-32	[6.04612, 80.637126]	20291
LG-32012	LG-32012	Thihagoda PS	LK-3	LK-32	[6.009613, 80.560316]	33535
LG-32013	LG-32013	Weligama UC	LK-3	LK-32	[5.970843, 80.422032]	22377
LG-32014	LG-32014	Matara PS	LK-3	LK-32	[5.96997, 80.57963]	36695
LG-32015	LG-32015	Matara MC	LK-3	LK-32	[5.953376, 80.538005]	79110
LG-32016	LG-32016	Devinuwara PS	LK-3	LK-32	[5.975777, 80.614817]	48253
LG-32017	LG-32017	Dickwella PS	LK-3	LK-32	[5.985144, 80.673631]	54672
LG-33001	LG-33001	Sooriyawewa PS	LK-3	LK-33	[6.291738, 81.014106]	43102
LG-33002	LG-33002	Lunugamvehera PS	LK-3	LK-33	[6.33206, 81.166344]	31559
LG-33003	LG-33003	Tissamaharama PS	LK-3	LK-33	[6.380423, 81.45357]	68606
LG-33004	LG-33004	Hambantota PS	LK-3	LK-33	[6.217265, 81.120521]	34028
LG-33005	LG-33005	Hambantota MC	LK-3	LK-33	[6.166069, 81.124905]	23236
LG-33006	LG-33006	Ambalantota PS	LK-3	LK-33	[6.161052, 80.963092]	72943
LG-33007	LG-33007	Angunakolapelessa PS	LK-3	LK-33	[6.19318, 80.851912]	48301
LG-33008	LG-33008	Weeraketiya PS	LK-3	LK-33	[6.167316, 80.742858]	80289
LG-33009	LG-33009	Katuwana PS	LK-3	LK-33	[6.241719, 80.694113]	69340
LG-33010	LG-33010	Beliatta PS	LK-3	LK-33	[6.051035, 80.72053]	55992
LG-33011	LG-33011	Tangalla PS	LK-3	LK-33	[6.072751, 80.826762]	64034
LG-33012	LG-33012	Tangalla UC	LK-3	LK-33	[6.031009, 80.794902]	8473
LG-41001	LG-41001	Kayts PS	LK-4	LK-41	[9.675509, 79.849934]	9876
LG-41002	LG-41002	Karainagar PS	LK-4	LK-41	[9.735372, 79.875397]	9576
LG-41003	LG-41003	Valikamam West PS	LK-4	LK-41	[9.741462, 79.945935]	46438
LG-41004	LG-41004	Valikamam South-West PS	LK-4	LK-41	[9.750608, 79.980903]	52269
LG-41005	LG-41005	Valikamam North PS	LK-4	LK-41	[9.788953, 80.040743]	29518
LG-41006	LG-41006	Valikamam South PS	LK-4	LK-41	[9.744412, 80.034442]	53016
LG-41007	LG-41007	Valikamam East PS	LK-4	LK-41	[9.740129, 80.093314]	73225
LG-41008	LG-41008	Vadamaradchy South-West PS	LK-4	LK-41	[9.779397, 80.18617]	44733
LG-41009	LG-41009	Valvettithurai UC	LK-4	LK-41	[9.818653, 80.153699]	11397
LG-41010	LG-41010	Point Pedro PS	LK-4	LK-41	[9.65496, 80.373028]	36883
LG-41011	LG-41011	Point Pedro UC	LK-4	LK-41	[9.820361, 80.241603]	13048
LG-41012	LG-41012	Chavakachcheri PS	LK-4	LK-41	[9.673837, 80.194208]	48575
LG-41013	LG-41013	Chavakachcheri UC	LK-4	LK-41	[9.666668, 80.16299]	16129
LG-41014	LG-41014	Nallur PS	LK-4	LK-41	[9.665833, 80.056917]	34432
LG-41015	LG-41015	Jaffna MC	LK-4	LK-41	[9.667781, 80.029396]	84201
LG-41016	LG-41016	Velanai PS	LK-4	LK-41	[9.621494, 79.892911]	16742
LG-41017	LG-41017	Delft PS	LK-4	LK-41	[9.510374, 79.687714]	3824
LG-42001	LG-42001	Mannar PS	LK-4	LK-42	[8.992361, 79.885553]	26661
LG-42002	LG-42002	Mannar UC	LK-4	LK-42	[8.979362, 79.896172]	24417
LG-42003	LG-42003	Manthai West PS	LK-4	LK-42	[8.963867, 80.167526]	19732
LG-42004	LG-42004	Nanattan PS	LK-4	LK-42	[8.790805, 80.065239]	20641
LG-42005	LG-42005	Musali PS	LK-4	LK-42	[8.676405, 80.020706]	8119
LG-43001	LG-43001	Vavuniya North PS	LK-4	LK-43	[9.007359, 80.568786]	11523
LG-43002	LG-43002	Vavuniya South (Sinhala) PS	LK-4	LK-43	[8.736457, 80.513666]	13118
LG-43003	LG-43003	Vavuniya South (Tamil) PS	LK-4	LK-43	[8.838141, 80.454455]	66388
LG-43004	LG-43004	Vavuniya UC	LK-4	LK-43	[8.755121, 80.493757]	51145
LG-43005	LG-43005	Vengalacheddikulam PS	LK-4	LK-43	[8.692202, 80.296924]	29886
LG-44001	LG-44001	Thunukkai PS	LK-4	LK-44	[9.221403, 80.286938]	9699
LG-44002	LG-44002	Manthai East PS	LK-4	LK-44	[9.052861, 80.309584]	7117
LG-44003	LG-44003	Puthukudiyiruppu PS	LK-4	LK-44	[9.211583, 80.580966]	43385
LG-44004	LG-44004	Maritimepattu PS	LK-4	LK-44	[9.146073, 80.79507]	31992
LG-45001	LG-45001	Pachchilaipalli PS	LK-4	LK-45	[9.587893, 80.35663]	8530
LG-45002	LG-45002	Karachchi PS	LK-4	LK-45	[9.401568, 80.41834]	84678
LG-45003	LG-45003	Poonakary PS	LK-4	LK-45	[9.383997, 80.180377]	20302
LG-51001	LG-51001	Koralai Pattu North PS	LK-5	LK-51	[8.081887, 81.393803]	23284
LG-51002	LG-51002	Koralai Pattu West PS	LK-5	LK-51	[7.907034, 81.346746]	27392
LG-51003	LG-51003	Koralai Pattu PS	LK-5	LK-51	[7.850668, 81.407268]	68249
LG-51004	LG-51004	Eravur Pattu PS	LK-5	LK-51	[7.710045, 81.468166]	75478
LG-51005	LG-51005	Eravur UC	LK-5	LK-51	[7.777229, 81.605243]	24643
LG-51006	LG-51006	Batticaloa MC	LK-5	LK-51	[7.723674, 81.688092]	86227
LG-51007	LG-51007	Manmunai West PS	LK-5	LK-51	[7.632148, 81.597281]	28489
LG-51008	LG-51008	Kattankudy UC	LK-5	LK-51	[7.682748, 81.73212]	40356
LG-51009	LG-51009	Manmunai Pattu PS	LK-5	LK-51	[7.639401, 81.753366]	30694
LG-51010	LG-51010	Manmunai South-West PS	LK-5	LK-51	[7.564352, 81.654595]	24726
LG-51011	LG-51011	Poratheevu Pattu PS	LK-5	LK-51	[7.499589, 81.706805]	36222
LG-51012	LG-51012	Manmunai South & Eruvil pattu PS	LK-5	LK-51	[7.521669, 81.791306]	60807
LG-52001	LG-52001	Dehiattakandiya PS	LK-5	LK-52	[7.623936, 81.086794]	60178
LG-52002	LG-52002	Padiyathalawa PS	LK-5	LK-52	[7.426948, 81.262254]	18290
LG-52003	LG-52003	Mahaoya PS	LK-5	LK-52	[7.562786, 81.348753]	20828
LG-52004	LG-52004	Uhana PS	LK-5	LK-52	[7.397683, 81.594146]	58325
LG-52005	LG-52005	Namaloya PS	LK-5	LK-52	[7.265495, 81.578455]	23076
LG-52006	LG-52006	Ampara UC	LK-5	LK-52	[7.290724, 81.665222]	24133
LG-52007	LG-52007	Navithanveli PS	LK-5	LK-52	[7.41321, 81.765564]	18727
LG-52008	LG-52008	Sammanthurai PS	LK-5	LK-52	[7.327002, 81.763832]	60465
LG-52009	LG-52009	Kalmunai MC	LK-5	LK-52	[7.413089, 81.821285]	99893
LG-52010	LG-52010	Karaitheevu PS	LK-5	LK-52	[7.371218, 81.836975]	16839
LG-52011	LG-52011	Ninthavur PS	LK-5	LK-52	[7.331614, 81.840911]	26361
LG-52012	LG-52012	Addalachchenai PS	LK-5	LK-52	[7.273512, 81.821379]	41968
LG-52013	LG-52013	Irakkamam PS	LK-5	LK-52	[7.24242, 81.729815]	14383
LG-52014	LG-52014	Akkaraipattu PS	LK-5	LK-52	[7.213937, 81.775604]	6731
LG-52015	LG-52015	Akkaraipattu MC	LK-5	LK-52	[7.229947, 81.846879]	32435
LG-52016	LG-52016	Alayadiwembu PS	LK-5	LK-52	[7.177989, 81.801897]	22458
LG-52017	LG-52017	Damana PS	LK-5	LK-52	[7.136161, 81.626377]	35312
LG-52018	LG-52018	Thirukkovil PS	LK-5	LK-52	[7.0767, 81.773098]	25277
LG-52019	LG-52019	Pottuvil PS	LK-5	LK-52	[6.941704, 81.800157]	34809
LG-52020	LG-52020	Lahugala PS	LK-5	LK-52	[6.751389, 81.698623]	8914
LG-53001	LG-53001	Padavi Sri Pura PS	LK-5	LK-53	[8.915612, 80.85212]	11882
LG-53002	LG-53002	Kuchchaveli PS	LK-5	LK-53	[8.80817, 81.047854]	33218
LG-53003	LG-53003	Gomarankadawala PS	LK-5	LK-53	[8.745845, 80.959443]	7382
LG-53004	LG-53004	Morawewa PS	LK-5	LK-53	[8.620077, 81.022286]	7968
LG-53005	LG-53005	Trincomalee Town and Gravets PS	LK-5	LK-53	[8.584563, 81.16915]	45456
LG-53006	LG-53006	Trincomalee UC	LK-5	LK-53	[8.57113, 81.226551]	52031
LG-53007	LG-53007	Thambalagamuwa PS	LK-5	LK-53	[8.492791, 81.049535]	28527
LG-53008	LG-53008	Kanthalai PS	LK-5	LK-53	[8.345954, 81.056715]	46802
LG-53009	LG-53009	Kinniya PS	LK-5	LK-53	[8.429303, 81.16197]	27841
LG-53010	LG-53010	Kinniya UC	LK-5	LK-53	[8.487345, 81.187353]	36772
LG-53011	LG-53011	Muttur PS	LK-5	LK-53	[8.430437, 81.290462]	56621
LG-53012	LG-53012	Seruvila PS	LK-5	LK-53	[8.298205, 81.251466]	13632
LG-53013	LG-53013	Verugal PS	LK-5	LK-53	[8.297137, 81.347396]	11409
LG-61001	LG-61001	Giribawa PS	LK-6	LK-61	[8.104213, 80.183692]	31412
LG-61002	LG-61002	Galgamuwa PS	LK-6	LK-61	[7.997588, 80.296809]	80859
