id	name	country_id	province_id	district_id	ed_id	pd_id	centroid	population
EC-06B	Kothmale	LK	LK-2	LK-23	EC-06	EC-06B	[7.039128846177052, 80.655280161566]	101180
EC-06C	Hanguranketha	LK	LK-2	LK-23	EC-06	EC-06C	[7.119689234401371, 80.7779511669676]	88528
EC-06D	Walapane	LK	LK-2	LK-23	EC-06	EC-06D	[7.095252433841907, 80.88729272609417]	102608
EC-07A	Balapitiya	LK	LK-3	LK-31	EC-07	EC-07A	[6.314060551636422, 80.05115357189167]	67432
EC-07B	Ambalangoda	LK	LK-3	LK-31	EC-07	EC-07B	[6.191176832767358, 80.12362421561843]	91315
EC-07C	Karandeniya	LK	LK-3	LK-31	EC-07	EC-07C	[6.264314917453287, 80.13127458700743]	92659
EC-07D	Bentara Elpitiya	LK	LK-3	LK-31	EC-07	EC-07D	[6.322219670639307, 80.146458869719]	116143
EC-07E	Hiniduma	LK	LK-3	LK-31	EC-07	EC-07E	[6.300707447408561, 80.34057514457233]	126889
EC-07F	Baddegama	LK	LK-3	LK-31	EC-07	EC-07F	[6.141591805451762, 80.31384220535604]	124988
EC-07G	Ratgama	LK	LK-3	LK-31	EC-07	EC-07G	[6.140314410676374, 80.12280193226289]	104333
EC-07H	Galle	LK	LK-3	LK-31	EC-07	EC-07H	[6.05368102432193, 80.20836801009351]	101749
EC-07I	Akmeemana	LK	LK-3	LK-31	EC-07	EC-07I	[6.06666271198543, 80.26354765054177]	128107
EC-07J	Habaraduwa	LK	LK-3	LK-31	EC-07	EC-07J	[6.018958164784628, 80.34123594828156]	107269
EC-08A	Deniyaya	LK	LK-3	LK-32	EC-08	EC-08A	[6.291909505571743, 80.52563484630434]	133003
EC-08B	Hakmana	LK	LK-3	LK-32	EC-08	EC-08B	[6.183643614270391, 80.60101355493815]	114414
EC-08C	Akuressa	LK	LK-3	LK-32	EC-08	EC-08C	[6.11067680607077, 80.46660734900608]	120072
EC-08D	Kamburupitiya	LK	LK-3	LK-32	EC-08	EC-08D	[6.044746054879728, 80.58894625093967]	100740
EC-08E	Devinuwara	LK	LK-3	LK-32	EC-08	EC-08E	[5.981324924594737, 80.64890865407301]	99937
EC-08F	Matara	LK	LK-3	LK-32	EC-08	EC-08F	[5.963103853056664, 80.56171561077399]	115805
EC-08G	Weligama	LK	LK-3	LK-32	EC-08	EC-08G	[5.997992083964255, 80.44095292333036]	124941
EC-09A	Mulkirigala	LK	LK-3	LK-33	EC-09	EC-09A	[6.215419449031415, 80.72122735968857]	126950
