region_id	field_num	field_value
LK-8136150	0	456
LK-8136150	1	239
LK-8136150	2	22
LK-8136150	3	9
LK-8136150	4	0
LK-8136150	5	0
LK-8136150	6	0
LK-8136150	7	6
LK-8136150	8	177
LK-8136150	9	3
LK-5321035	0	293
LK-5321035	1	280
LK-5321035	2	0
LK-5321035	3	0
LK-5321035	4	0
LK-5321035	5	0
LK-5321035	6	0
LK-5321035	7	0
LK-5321035	8	0
LK-5321035	9	13
LK-5321030	0	338
LK-5321030	1	338
LK-5321030	2	0
LK-5321030	3	0
LK-5321030	4	0
LK-5321030	5	0
LK-5321030	6	0
LK-5321030	7	0
LK-5321030	8	0
LK-5321030	9	0
LK-1136335	0	328
LK-1136335	1	291
LK-1136335	2	35
LK-1136335	3	1
LK-1136335	4	1
LK-1136335	5	0
LK-1136335	6	0
LK-1136335	7	0
LK-1136335	8	0
LK-1136335	9	0
LK-8136155	0	296
LK-8136155	1	114
LK-8136155	2	9
LK-8136155	3	0
LK-8136155	4	0
LK-8136155	5	0
LK-8136155	6	0
LK-8136155	7	3
LK-8136155	8	170
LK-8136155	9	0
LK-1136330	0	426
LK-1136330	1	310
LK-1136330	2	107
LK-1136330	3	3
LK-1136330	4	6
LK-1136330	5	0
LK-1136330	6	0
LK-1136330	7	0
LK-1136330	8	0
LK-1136330	9	0
LK-2309010	0	69
LK-2309010	1	68
LK-2309010	2	0
LK-2309010	3	0
LK-2309010	4	0
LK-2309010	5	0
LK-2309010	6	0
LK-2309010	7	1
LK-2309010	8	0
LK-2309010	9	0
LK-2136295	0	259
LK-2136295	1	199
LK-2136295	2	28
LK-2136295	3	6
LK-2136295	4	0
LK-2136295	5	0
LK-2136295	6	0
LK-2136295	7	8
LK-2136295	8	18
LK-2136295	9	0
LK-2309015	0	102
LK-2309015	1	97
LK-2309015	2	2
LK-2309015	3	0
LK-2309015	4	1
LK-2309015	5	0
LK-2309015	6	0
LK-2309015	7	0
LK-2309015	8	0
LK-2309015	9	2
LK-2136290	0	337
LK-2136290	1	249
LK-2136290	2	66
LK-2136290	3	4
LK-2136290	4	1
LK-2136290	5	3
LK-2136290	6	0
LK-2136290	7	0
LK-2136290	8	14
LK-2136290	9	0
LK-6160035	0	137
LK-6160035	1	135
LK-6160035	2	2
LK-6160035	3	0
LK-6160035	4	0
LK-6160035	5	0
LK-6160035	6	0
LK-6160035	7	0
LK-6160035	8	0
LK-6160035	9	0
LK-6130240	0	167
LK-6130240	1	166
LK-6130240	2	0
LK-6130240	3	0
LK-6130240	4	0
LK-6130240	5	0
LK-6130240	6	0
LK-6130240	7	0
LK-6130240	8	0
LK-6130240	9	1
LK-6160030	0	311
LK-6160030	1	281
LK-6160030	2	25
LK-6160030	3	0
LK-6160030	4	2
LK-6160030	5	0
LK-6160030	6	0
LK-6160030	7	3
LK-6160030	8	0
LK-6160030	9	0
LK-6130245	0	184
LK-6130245	1	180
LK-6130245	2	4
LK-6130245	3	0
LK-6130245	4	0
LK-6130245	5	0
LK-6130245	6	0
LK-6130245	7	0
LK-6130245	8	0
LK-6130245	9	0
LK-3227005	0	248
LK-3227005	1	242
LK-3227005	2	5
LK-3227005	3	0
LK-3227005	4	0
LK-3227005	5	0
