id	lg_id	name	centroid
LG-11001	LG-11001	Colombo MC	[6.919708272340502, 79.86794941485965]
LG-11002	LG-11002	Kolonnawa UC	[6.938469890108481, 79.88810129461484]
LG-11003	LG-11003	Kotikawatta PS	[6.93348947933793, 79.92239962025117]
LG-11004	LG-11004	Kaduwela MC	[6.903622967236592, 79.97828928792252]
LG-11005	LG-11005	Homagama PS	[6.831278391937623, 80.02239513846453]
LG-11006	LG-11006	Seethawaka PS	[6.884852005381146, 80.13689127901381]
LG-11007	LG-11007	Seethawakapura UC	[6.95371659743016, 80.20038514185721]
LG-11008	LG-11008	Maharagama UC	[6.856942341197099, 79.94263163522075]
LG-11009	LG-11009	Sri Jayawardenepura Kotte MC	[6.891055973158331, 79.89875758827729]
LG-11010	LG-11010	Dehiwala Mt.Lavinia MC	[6.839296423565323, 79.87743652792133]
LG-11011	LG-11011	Moratuwa MC	[6.782673354860794, 79.89109551135638]
LG-11012	LG-11012	Boralesgamuwa UC	[6.839184068089402, 79.90269292506291]
LG-11013	LG-11013	Kesbewa UC	[6.796439762043191, 79.93407997237992]
LG-12001	LG-12001	Negombo MC	[7.214036302083143, 79.8456304078487]
LG-12002	LG-12002	Katana PS	[7.206273385703066, 79.89294257455383]
LG-12003	LG-12003	Katunayaka-Seeduwa UC	[7.155046105130824, 79.87865939972548]
LG-12004	LG-12004	Divulapitiya PS	[7.253979242792735, 80.00733901545337]
LG-12005	LG-12005	Mirigama PS	[7.225208198125755, 80.12379051354476]
LG-12006	LG-12006	Minuwangoda PS	[7.154431438701258, 79.9794457717416]
LG-12007	LG-12007	Minuwangoda UC	[7.170673446704783, 79.95148704626784]
LG-12008	LG-12008	Wattala PS	[7.038926766339726, 79.87981551653101]
LG-12009	LG-12009	Wattala-Mabola UC	[6.989437260094514, 79.89398786834282]
LG-12010	LG-12010	Ja-Ela PS	[7.071590914690257, 79.91196566540422]
LG-12011	LG-12011	Ja-Ela UC	[7.0721809403996545, 79.88706565833297]
LG-12012	LG-12012	Gampaha PS	[7.061467002512565, 79.98013475067924]
LG-12013	LG-12013	Gampaha MC	[7.092258575542493, 80.0233653284293]
LG-12014	LG-12014	Attanagalla PS	[7.114046025573893, 80.11037789417648]
LG-12015	LG-12015	Dompe PS	[6.990571039902515, 80.0990604465857]
LG-12016	LG-12016	Mahara PS	[7.028731284173429, 80.01466243376728]
LG-12017	LG-12017	Kelaniya PS	[6.971713031506084, 79.9142253414247]
LG-12018	LG-12018	Peliyagoda UC	[6.9628236105611, 79.88926890251508]
LG-12019	LG-12019	Biyagama PS	[6.968969429870154, 79.97806727754273]
LG-13001	LG-13001	Panadura PS	[6.716267393526751, 79.92525485365927]
LG-13002	LG-13002	Panadura UC	[6.713630815213247, 79.91186143268091]
LG-13003	LG-13003	Bandaragama PS	[6.718941545765023, 79.9753370996994]
LG-13004	LG-13004	Horana PS	[6.7603917905908615, 80.10036553964905]
LG-13005	LG-13005	Horana UC	[6.715514296337108, 80.06536417748441]
LG-13006	LG-13006	Bulathsinhala PS	[6.648437596762077, 80.17524722279316]
LG-13007	LG-13007	Madurawala PS	[6.649362383169438, 80.09582693004134]
LG-13008	LG-13008	Millaniya PS	[6.658003432584177, 80.03198884785552]
LG-13009	LG-13009	Kalutara PS	[6.623279014844027, 79.97270307253807]
LG-13010	LG-13010	Kalutara UC	[6.578239182030916, 79.96507398556975]
LG-13011	LG-13011	Beruwala PS	[6.490260916374185, 80.00618720389765]
LG-13012	LG-13012	Beruwala UC	[6.4701329834691865, 79.98477054917075]
LG-13013	LG-13013	Dodangoda PS	[6.570904570144963, 80.04611018418419]
LG-13014	LG-13014	Matugama PS	[6.488369378157891, 80.09076008879236]
LG-13015	LG-13015	Agalawatta PS	[6.514771354821825, 80.17466448379481]
LG-13016	LG-13016	Palindanuwara PS	[6.505990122290636, 80.27386947152607]
LG-13017	LG-13017	Walallawita PS	[6.40734391090121, 80.18686555760097]
LG-21001	LG-21001	Thumpane PS	[7.346768246584382, 80.49531936060924]
LG-21002	LG-21002	Pujapitiya PS	[7.400489069061093, 80.56601184691122]
LG-21003	LG-21003	Akurana PS	[7.390593760017447, 80.61877225543104]
LG-21004	LG-21004	Pathadumbara PS	[7.349097791413605, 80.65806490780282]
LG-21005	LG-21005	Wattegama UC	[7.351229434915645, 80.67867579148881]
LG-21006	LG-21006	Kandy MC	[7.291316086191291, 80.63064071876852]
LG-21007	LG-21007	Panvila PS	[7.409797392817005, 80.7406980676045]
LG-21008	LG-21008	Udadumbara PS	[7.329838904816094, 80.87533602361785]
LG-21009	LG-21009	Minipe PS	[7.346838391758873, 80.94992557539715]
LG-21010	LG-21010	Medadumbara PS	[7.302595940306715, 80.80027704844514]
LG-21011	LG-21011	Kundasale PS	[7.305341488933034, 80.70970841193027]
LG-21012	LG-21012	Kandy Four Gravets & Gangawata Korale PS	[7.257151428054436, 80.64572958009093]
LG-21013	LG-21013	Harispattuwa PS	[7.328599292266449, 80.58740868003437]
LG-21014	LG-21014	Yatinuwara PS	[7.285178411262228, 80.53854652896702]
LG-21015	LG-21015	Kadugannawa UC	[7.2614332754791775, 80.53478432831973]
LG-21016	LG-21016	Udunuwara PS	[7.223046455110803, 80.56012769941805]
LG-21017	LG-21017	Udapalatha PS	[7.145199409541163, 80.63025815337478]
LG-21018	LG-21018	Pathahewaheta PS	[7.212243388427856, 80.70447344999494]
LG-21019	LG-21019	Gampola UC	[7.168176638749808, 80.56557011156161]
LG-21020	LG-21020	Ganga Ihala Korale PS	[7.110976302034027, 80.5153561417397]
LG-21021	LG-21021	Pasbage Korale PS	[7.0152758519798875, 80.53597159352793]
LG-21022	LG-21022	Nawalapitiya UC	[7.045448094581674, 80.54141667348604]
LG-22001	LG-22001	Galewela PS	[7.7785469644679495, 80.57099660882083]
LG-22002	LG-22002	Dambulla PS	[7.877605820661218, 80.72838863765132]
LG-22003	LG-22003	Dambulla MC	[7.8601759161114835, 80.65676907178013]
LG-22004	LG-22004	Naula PS	[7.687969326583884, 80.7081333337105]
LG-22005	LG-22005	Pallepola PS	[7.646754412737142, 80.59868640760737]
LG-22006	LG-22006	Yatawatta PS	[7.549686851214845, 80.58889958252043]
LG-22007	LG-22007	Matale PS	[7.548170630124497, 80.63024715225053]
LG-22008	LG-22008	Matale MC	[7.469703321371082, 80.62293216315776]
LG-22009	LG-22009	Ambanganga Korale PS	[7.561239570919262, 80.67772066135603]
LG-22010	LG-22010	Laggala-Pallegama PS	[7.555780498412944, 80.81399051152975]
LG-22011	LG-22011	Wilgamuwa PS	[7.607740727286323, 80.93289984225285]
LG-22012	LG-22012	Rattota PS	[7.486092344673696, 80.68604403605751]
LG-22013	LG-22013	Ukuwela PS	[7.429036328556951, 80.63757549695126]
LG-23001	LG-23001	Kothmale PS	[7.039128846177052, 80.655280161566]
LG-23002	LG-23002	Hanguranketha PS	[7.119689234401371, 80.7779511669676]
LG-23003	LG-23003	Walapone PS	[7.094897151414673, 80.88685677607764]
LG-23004	LG-23004	Nuwara Eliya PS	[6.893856474992589, 80.73111872917403]
LG-23005	LG-23005	Thalawakele-Lindula UC	[6.9466583993121525, 80.6727616095279]
LG-23006	LG-23006	Nuwara Eliya MC	[6.968743699247199, 80.7677041939292]
LG-23007	LG-23007	Ambagamuwa PS	[6.862712994703523, 80.56910926538848]
LG-23008	LG-23008	Hatton - Dickoya UC	[6.886290547994533, 80.59706722999209]
LG-31001	LG-31001	Bentota PS	[6.386771975717152, 80.05545355870787]
