id	moh_id	name	centroid
MOH-23001	MOH-23001	MATHURATA	[7.062640667424252, 80.78697389753992]
MOH-23002	MOH-23002	WALAPANE	[7.129449552066077, 80.8900430657604]
MOH-23003	MOH-23003	HANGURANKETHA	[7.155934747199406, 80.77221862163314]
MOH-23004	MOH-23004	KOTHMALE	[7.0394348062030225, 80.68526587588283]
MOH-23005	MOH-23005	AMBAGAMUWA	[6.9413948030584285, 80.50631911175205]
MOH-23006	MOH-23006	KOTAGALA	[6.942634373156809, 80.62971485917878]
MOH-23007	MOH-23007	NAWATHISPANE	[7.0386303980822165, 80.6064254059907]
MOH-23008	MOH-23008	NUWARA ELIYA	[6.908405678216939, 80.77899293995766]
MOH-23009	MOH-23009	NUWARA ELIYA MC	[6.973856653845648, 80.77863455820199]
MOH-23010	MOH-23010	RAGALA	[7.03570825878968, 80.88139860372618]
MOH-23011	MOH-23011	MASKELIYA	[6.818373190984789, 80.5640011219672]
MOH-23012	MOH-23012	BOGAWANTHALAWA	[6.806936924393096, 80.6734618930314]
MOH-23013	MOH-23013	LINDULA	[6.872168594710376, 80.7104521156515]
MOH-31001	MOH-31001	IMADUWA	[6.032651570655585, 80.35843599382049]
MOH-31002	MOH-31002	KARANDENIYA	[6.301087413192982, 80.10061874851114]
MOH-31003	MOH-31003	BALAPITIYA	[6.314060551636422, 80.05115357189167]
MOH-31004	MOH-31004	NAGODA	[6.199739712733209, 80.3129013768162]
MOH-31005	MOH-31005	ELPITIYA	[6.2905359394309395, 80.18453148658504]
MOH-31006	MOH-31006	HIKKADUWA	[6.168811402595381, 80.09711127399596]
MOH-31007	MOH-31007	RATHGAMA	[6.101209629344151, 80.15742096085778]
MOH-31008	MOH-31008	AKMEEMANA	[6.059039487146676, 80.28363707182912]
MOH-31009	MOH-31009	GONAPINUWALA	[6.166248498058233, 80.13156464139571]
MOH-31010	MOH-31010	AMBALANGODA	[6.222222000512802, 80.10267808241298]
MOH-31011	MOH-31011	BADDEGAMA	[6.1370285237368325, 80.22022551921187]
MOH-31012	MOH-31012	BENTOTA	[6.386771975717152, 80.05545355870787]
MOH-31013	MOH-31013	BOPE-PODDALA	[6.0843652734774585, 80.21689623684021]
MOH-31014	MOH-31014	HABARADUWA	[6.001751986824188, 80.31962357169269]
MOH-31015	MOH-31015	NELUWA	[6.360283867102841, 80.41071259627013]
MOH-31016	MOH-31016	NIYAGAMA	[6.300177626863775, 80.25359227151961]
MOH-31017	MOH-31017	THAWALAMA	[6.292959323325109, 80.35558372569922]
MOH-31018	MOH-31018	WELIVITIYA-DIVITHURA	[6.207736608581196, 80.18194976099505]
MOH-31019	MOH-31019	YAKKALAMULLA	[6.106994849547444, 80.35953085139722]
MOH-31020	MOH-31020	GALLE FOUR GRAVETS	[6.05368102432193, 80.20836801009351]
MOH-32001	MOH-32001	MATARA MC	[5.953694468382742, 80.53720247870493]
MOH-32002	MOH-32002	MATARA PS	[5.969965309630027, 80.57959093386933]
MOH-32003	MOH-32003	WELIGAMA	[5.967359882731193, 80.44496220789595]
MOH-32004	MOH-32004	PASGODA	[6.275885369079918, 80.60835698742484]
MOH-32005	MOH-32005	THIHAGODA	[6.0101298050942455, 80.55999295034775]
MOH-32006	MOH-32006	KIRINDA PUHULWELLA	[6.046061073699205, 80.63729517636486]
MOH-32007	MOH-32007	MALIMBADA	[6.0193245962144815, 80.4983205250386]
MOH-32008	MOH-32008	PITABEDDARA	[6.239243191669312, 80.47272225818675]
MOH-32009	MOH-32009	ATHURALIYA	[6.117275738008336, 80.50863402416793]
MOH-32010	MOH-32010	KOTAPOLA	[6.322860901619096, 80.53939855497603]
MOH-32011	MOH-32011	MULATIYANA	[6.14691551310665, 80.58650846902185]
MOH-32012	MOH-32012	HAKMANA	[6.09486593872586, 80.65003991104899]
MOH-32013	MOH-32013	KAMBURUPITIYA	[6.066377539312284, 80.56138261446594]
MOH-32014	MOH-32014	WELIPITIYA	[6.016564042200552, 80.43852213930245]
MOH-32015	MOH-32015	AKURESSA	[6.136287929274594, 80.43960344782442]
MOH-32016	MOH-32016	DEVINUWARA	[5.975776996267076, 80.61481710641]
MOH-32017	MOH-32017	DICKWELLA	[5.985143977640161, 80.67363104593133]
MOH-33001	MOH-33001	KATUWANA	[6.263725510620802, 80.71572062976978]
MOH-33002	MOH-33002	TANGALLE	[6.071985482097625, 80.8261772822056]
MOH-33003	MOH-33003	AMBALANTOTA	[6.161052089483577, 80.96309175797583]
MOH-33004	MOH-33004	WEERAKETIYA	[6.172030318789989, 80.77200189490401]
MOH-33005	MOH-33005	ANGUNUKOLAPELES	[6.193917101216355, 80.85173243798036]
MOH-33006	MOH-33006	BELIATTA	[6.050375429587923, 80.72077310584467]
MOH-33007	MOH-33007	OKEWELA	[6.130162908460269, 80.69318169211347]
MOH-33008	MOH-33008	WALASMULLA	[6.199614627706832, 80.68175765863151]
MOH-33009	MOH-33009	HAMBANTOTA	[6.178747620461257, 81.08935687818662]
MOH-33010	MOH-33010	TISSAMAHARAMA	[6.400222852943638, 81.47804754445421]
MOH-33011	MOH-33011	LUNUGAMVEHERA	[6.333403740079714, 81.1623129156594]
MOH-33012	MOH-33012	SOORIYAWEWA	[6.2917376371798825, 81.01410563053035]
MOH-41001	MOH-41001	KAYTS	[9.620887333152274, 79.83659623196878]
MOH-41002	MOH-41002	CHAVAKACHCHERI	[9.674018319934989, 80.191804488584]
MOH-41003	MOH-41003	NALLUR	[9.681873312708934, 80.0331379672142]
MOH-41004	MOH-41004	JAFFNA	[9.66316021393396, 80.02158400688322]
MOH-41005	MOH-41005	UDUVIL	[9.74441170217098, 80.03444170211138]
MOH-41006	MOH-41006	KOPAY	[9.740725311054643, 80.09299779322737]
MOH-41007	MOH-41007	POINT PEDRO	[9.666127320265245, 80.36075668105615]
MOH-41008	MOH-41008	TELLIPALAI	[9.788953445427248, 80.04074293910443]
MOH-41009	MOH-41009	SANDILIPAY	[9.750608151976316, 79.98090345875433]
MOH-41010	MOH-41010	CHANKANAI	[9.739659515703698, 79.94897733130196]
MOH-41011	MOH-41011	KARAVEDDY	[9.793939911558502, 80.18574626361503]
