id	province_id	name	centroid	population
LK-1	LK-1	Western	[6.834825098320717, 80.0669776450327]	5850745.0
LK-2	LK-2	Central	[7.324026647083187, 80.71781832520287]	2571557.0
LK-3	LK-3	Southern	[6.2214748382103595, 80.72057202143131]	2477285.0
LK-4	LK-4	Northern	[9.12799673363932, 80.34161959471582]	1061215.0
LK-5	LK-5	Eastern	[7.742535875052632, 81.40761387191013]	1555510.0
LK-6	LK-6	North Western	[7.785639031365662, 80.11037019143448]	2379683.0
LK-7	LK-7	North Central	[8.263303420540824, 80.67877303154701]	1266663.0
LK-8	LK-8	Uva	[6.883100354849226, 81.21751102613992]	1266463.0
LK-9	LK-9	Sabaragamuwa	[6.76059182791688, 80.49117313309674]	1928655.0
