region_id	field_num	field_value
LK-6109055	5	0
LK-6109055	6	26
LK-6109055	7	0
LK-3324065	0	467
LK-3324065	1	344
LK-3324065	2	28
LK-3324065	3	45
LK-3324065	4	0
LK-3324065	5	0
LK-3324065	6	49
LK-3324065	7	1
LK-8127040	0	144
LK-8127040	1	97
LK-8127040	2	1
LK-8127040	3	44
LK-8127040	4	0
LK-8127040	5	0
LK-8127040	6	2
LK-8127040	7	0
LK-5136180	0	266
LK-5136180	1	234
LK-5136180	2	23
LK-5136180	3	0
LK-5136180	4	0
LK-5136180	5	8
LK-5136180	6	1
LK-5136180	7	0
LK-6175105	0	255
LK-6175105	1	209
LK-6175105	2	11
LK-6175105	3	4
LK-6175105	4	0
LK-6175105	5	2
LK-6175105	6	29
LK-6175105	7	0
LK-5136185	0	276
LK-5136185	1	255
LK-5136185	2	19
LK-5136185	3	0
LK-5136185	4	0
LK-5136185	5	2
LK-5136185	6	0
LK-5136185	7	0
LK-7148165	0	533
LK-7148165	1	381
LK-7148165	2	17
LK-7148165	3	53
LK-7148165	4	1
LK-7148165	5	1
LK-7148165	6	80
LK-7148165	7	0
LK-9212200	0	332
LK-9212200	1	250
LK-9212200	2	20
LK-9212200	3	28
LK-9212200	4	0
LK-9212200	5	0
LK-9212200	6	33
LK-9212200	7	1
LK-3142125	0	245
LK-3142125	1	152
LK-3142125	2	71
LK-3142125	3	3
LK-3142125	4	0
LK-3142125	5	1
LK-3142125	6	17
LK-3142125	7	1
LK-9212205	0	296
LK-9212205	1	216
LK-9212205	2	33
LK-9212205	3	23
LK-9212205	4	0
LK-9212205	5	6
LK-9212205	6	16
LK-9212205	7	2
LK-6224130	0	151
LK-6224130	1	112
LK-6224130	2	0
LK-6224130	3	27
LK-6224130	4	0
LK-6224130	5	0
LK-6224130	6	11
LK-6224130	7	1
LK-3142120	0	196
LK-3142120	1	143
LK-3142120	2	46
LK-3142120	3	0
LK-3142120	4	0
LK-3142120	5	0
LK-3142120	6	6
LK-3142120	7	1
LK-8121035	0	425
LK-8121035	1	353
LK-8121035	2	13
LK-8121035	3	41
LK-8121035	4	0
LK-8121035	5	0
LK-8121035	6	17
LK-8121035	7	1
LK-2233140	0	417
LK-2233140	1	300
LK-2233140	2	67
LK-2233140	3	16
LK-2233140	4	0
LK-2233140	5	0
LK-2233140	6	31
LK-2233140	7	3
LK-2233145	0	365
LK-2233145	1	279
LK-2233145	2	29
LK-2233145	3	16
LK-2233145	4	0
LK-2233145	5	1
LK-2233145	6	40
LK-2233145	7	0
LK-3324060	0	302
LK-3324060	1	254
LK-3324060	2	13
LK-3324060	3	22
LK-3324060	4	0
LK-3324060	5	0
LK-3324060	6	13
LK-3324060	7	0
LK-3245080	0	352
LK-3245080	1	252
LK-3245080	2	45
LK-3245080	3	18
LK-3245080	4	0
LK-3245080	5	0
LK-3245080	6	36
LK-3245080	7	1
LK-3245085	0	176
LK-3245085	1	146
LK-3245085	2	28
LK-3245085	3	2
LK-3245085	4	0
LK-3245085	5	0
LK-3245085	6	0
LK-3245085	7	0
LK-5315210	0	551
LK-5315210	1	434
LK-5315210	2	113
LK-5315210	3	0
LK-5315210	4	0
LK-5315210	5	0
LK-5315210	6	4
LK-5315210	7	0
LK-8121030	0	788
LK-8121030	1	633
LK-8121030	2	28
LK-8121030	3	108
LK-8121030	4	1
LK-8121030	5	0
LK-8121030	6	18
LK-8121030	7	0
LK-9215005	0	484
LK-9215005	1	368
LK-9215005	2	31
LK-9215005	3	49
LK-9215005	4	0
LK-9215005	5	1
LK-9215005	6	35
LK-9215005	7	0
LK-8142020	0	697
LK-8142020	1	471
LK-8142020	2	14
LK-8142020	3	198
LK-8142020	4	4
LK-8142020	5	0
LK-8142020	6	5
LK-8142020	7	5
LK-6178385	0	553
LK-6178385	1	495
LK-6178385	2	42
LK-6178385	3	4
LK-6178385	4	1
LK-6178385	5	1
LK-6178385	6	10
LK-6178385	7	0
LK-9115140	0	457
LK-9115140	1	354
LK-9115140	2	13
LK-9115140	3	66
LK-9115140	4	0
LK-9115140	5	0
LK-9115140	6	11
LK-9115140	7	13
LK-1230220	0	233
LK-1230220	1	192
LK-1230220	2	18
LK-1230220	3	4
LK-1230220	4	0
LK-1230220	5	1
LK-1230220	6	18
LK-1230220	7	0
LK-8142025	0	707
LK-8142025	1	561
LK-8142025	2	19
LK-8142025	3	84
LK-8142025	4	0
LK-8142025	5	41
LK-8142025	6	2
LK-8142025	7	0
LK-1230225	0	383
LK-1230225	1	247
LK-1230225	2	72
LK-1230225	3	10
LK-1230225	4	0
LK-1230225	5	2
LK-1230225	6	48
LK-1230225	7	4
LK-9115145	0	482
LK-9115145	1	372
LK-9115145	2	22
LK-9115145	3	73
LK-9115145	4	2
LK-9115145	5	0
LK-9115145	6	12
LK-9115145	7	1
LK-3327060	0	147
LK-3327060	1	105
LK-3327060	2	9
LK-3327060	3	9
LK-3327060	4	0
LK-3327060	5	0
LK-3327060	6	24
LK-3327060	7	0
LK-3227105	0	296
LK-3227105	1	226
LK-3227105	2	19
LK-3227105	3	29
LK-3227105	4	0
LK-3227105	5	1
LK-3227105	6	21
LK-3227105	7	0
LK-3312110	0	434
LK-3312110	1	300
LK-3312110	2	15
