id	dsd_id	name	province_id	district_id	centroid
LK-3118	LK-3118	Thawalama	LK-3	LK-31	6.292959,80.355584
LK-3121	LK-3121	Neluwa	LK-3	LK-31	6.360284,80.410713
LK-3124	LK-3124	Nagoda	LK-3	LK-31	6.199740,80.312901
LK-3127	LK-3127	Baddegama	LK-3	LK-31	6.136858,80.220557
LK-3130	LK-3130	Welivitiya-Divithura	LK-3	LK-31	6.206380,80.180328
LK-3133	LK-3133	Ambalangoda	LK-3	LK-31	6.222222,80.102678
LK-3134	LK-3134	Gonapeenuwala	LK-3	LK-31	6.166248,80.131565
LK-3136	LK-3136	Hikkaduwa	LK-3	LK-31	6.140332,80.122450
LK-3139	LK-3139	Galle Four Gravets	LK-3	LK-31	6.053681,80.208368
LK-3142	LK-3142	Bope-Poddala	LK-3	LK-31	6.084365,80.216896
LK-3145	LK-3145	Akmeemana	LK-3	LK-31	6.059003,80.283624
LK-3148	LK-3148	Yakkalamulla	LK-3	LK-31	6.106636,80.359402
LK-3151	LK-3151	Imaduwa	LK-3	LK-31	6.032726,80.357797
LK-3154	LK-3154	Habaraduwa	LK-3	LK-31	6.001453,80.320156
LK-3203	LK-3203	Pitabeddara	LK-3	LK-32	6.239243,80.472722
LK-3206	LK-3206	Kotapola	LK-3	LK-32	6.322861,80.539399
LK-3209	LK-3209	Pasgoda	LK-3	LK-32	6.275885,80.608357
LK-3212	LK-3212	Mulatiyana	LK-3	LK-32	6.146916,80.586508
LK-3215	LK-3215	Athuraliya	LK-3	LK-32	6.117276,80.508634
LK-3218	LK-3218	Akuressa	LK-3	LK-32	6.135035,80.439998
LK-3221	LK-3221	Welipitiya	LK-3	LK-32	6.016564,80.438522
LK-3224	LK-3224	Malimbada	LK-3	LK-32	6.019429,80.498261
LK-3227	LK-3227	Kamburupitiya	LK-3	LK-32	6.066382,80.561388
LK-3230	LK-3230	Hakmana	LK-3	LK-32	6.094866,80.650040
LK-3233	LK-3233	Kirinda Puhulwella	LK-3	LK-32	6.046120,80.637126
LK-3236	LK-3236	Thihagoda	LK-3	LK-32	6.009613,80.560315
LK-3239	LK-3239	Weligama	LK-3	LK-32	5.967343,80.444049
LK-3242	LK-3242	Matara Four Gravets	LK-3	LK-32	5.962922,80.561951
LK-3245	LK-3245	Devinuwara	LK-3	LK-32	5.975777,80.614817
LK-3248	LK-3248	Dickwella	LK-3	LK-32	5.985144,80.673631
LK-3303	LK-3303	Sooriyawewa	LK-3	LK-33	6.291738,81.014106
LK-3306	LK-3306	Lunugamvehera	LK-3	LK-33	6.332059,81.166344
LK-3309	LK-3309	Thissamaharama	LK-3	LK-33	6.380423,81.453570
LK-3312	LK-3312	Hambantota	LK-3	LK-33	6.204842,81.121585
LK-3315	LK-3315	Ambalantota	LK-3	LK-33	6.161052,80.963092
LK-3318	LK-3318	Angunakolapelessa	LK-3	LK-33	6.193180,80.851912
LK-3321	LK-3321	Weeraketiya	LK-3	LK-33	6.172030,80.772002
LK-3324	LK-3324	Katuwana	LK-3	LK-33	6.263726,80.715721
LK-3325	LK-3325	Walasmulla	LK-3	LK-33	6.199615,80.681758
LK-3327	LK-3327	Okewela	LK-3	LK-33	6.130432,80.693096
LK-3330	LK-3330	Beliatta	LK-3	LK-33	6.051035,80.720530
LK-3333	LK-3333	Tangalle	LK-3	LK-33	6.071986,80.826178
LK-4103	LK-4103	Island North (Kayts)	LK-4	LK-41	9.675509,79.849934
LK-4104	LK-4104	Karainagar	LK-4	LK-41	9.735372,79.875397
LK-4106	LK-4106	Valikamam West (Chankanai)	LK-4	LK-41	9.741462,79.945935
LK-4109	LK-4109	Valikamam South-West (Sandilipay)	LK-4	LK-41	9.750608,79.980903
LK-4112	LK-4112	Valikamam North (Tellipallai)	LK-4	LK-41	9.788953,80.040743
LK-4115	LK-4115	Valikamam South (Uduvil)	LK-4	LK-41	9.744412,80.034442
LK-4118	LK-4118	Valikamam East (Kopay)	LK-4	LK-41	9.740129,80.093314
LK-4121	LK-4121	Vadamaradchi South-West (Karaveddy)	LK-4	LK-41	9.779597,80.186081
LK-4124	LK-4124	Vadamaradchi East	LK-4	LK-41	9.627061,80.399342
LK-4127	LK-4127	Vadamaradchi North (Point Pedro)	LK-4	LK-41	9.808338,80.220296
LK-4130	LK-4130	Thenmaradchi (Chavakachcheri)	LK-4	LK-41	9.673115,80.191063
LK-4133	LK-4133	Nallur	LK-4	LK-41	9.668060,80.048869
LK-4136	LK-4136	Jaffna	LK-4	LK-41	9.663054,80.021508
LK-4139	LK-4139	Island South (Velanai)	LK-4	LK-41	9.621494,79.892911
LK-4142	LK-4142	Delft	LK-4	LK-41	9.510374,79.687714
LK-4203	LK-4203	Mannar Town	LK-4	LK-42	8.991383,79.886387
LK-4206	LK-4206	Manthai West	LK-4	LK-42	9.027236,80.111931
LK-4209	LK-4209	Madhu	LK-4	LK-42	8.845257,80.225324
LK-4212	LK-4212	Nanattan	LK-4	LK-42	8.838861,79.990426
LK-4215	LK-4215	Musali	LK-4	LK-42	8.676405,80.020706
LK-4303	LK-4303	Vavuniya North	LK-4	LK-43	9.007359,80.568786
LK-4306	LK-4306	Vavuniya South	LK-4	LK-43	8.736457,80.513666
LK-4309	LK-4309	Vavuniya	LK-4	LK-43	8.833718,80.456549
LK-4312	LK-4312	Vengalacheddikulam	LK-4	LK-43	8.692202,80.296924
LK-4403	LK-4403	Thunukkai	LK-4	LK-44	9.221403,80.286938
LK-4406	LK-4406	Manthai East	LK-4	LK-44	9.052861,80.309584
LK-4409	LK-4409	Puthukkudiyiruppu	LK-4	LK-44	9.308156,80.616136
LK-4412	LK-4412	Oddusuddan	LK-4	LK-44	9.187263,80.532005
LK-4415	LK-4415	Maritimepattu	LK-4	LK-44	9.165108,80.791878
LK-4418	LK-4418	Welioya	LK-4	LK-44	8.975934,80.770632
LK-4503	LK-4503	Pachchilaipalli	LK-4	LK-45	9.587893,80.356630
LK-4506	LK-4506	Kandavalai	LK-4	LK-45	9.443373,80.481488
