id	name	country_id	province_id	district_id	ed_id	pd_id	centroid	population
EC-05D	Rattota	LK	LK-2	LK-22	EC-05	EC-05D	[7.462058782801563, 80.66568233818465]	116810.0
EC-06A	Nuwara Eliya Maskeliya	LK	LK-2	LK-23	EC-06	EC-06A	[6.885490594068961, 80.65066087470058]	417817.0
EC-06B	Kothmale	LK	LK-2	LK-23	EC-06	EC-06B	[7.038980328822919, 80.6555653228094]	101180.0
EC-06C	Hanguranketha	LK	LK-2	LK-23	EC-06	EC-06C	[7.1196905644181765, 80.77795839837799]	88528.0
EC-06D	Walapane	LK	LK-2	LK-23	EC-06	EC-06D	[7.093789070791103, 80.88672198650904]	104119.0
EC-07A	Balapitiya	LK	LK-3	LK-31	EC-07	EC-07A	[6.314811325744783, 80.05128197456052]	67432.0
EC-07B	Ambalangoda	LK	LK-3	LK-31	EC-07	EC-07B	[6.191061410038799, 80.12382024024298]	91315.0
EC-07C	Karandeniya	LK	LK-3	LK-31	EC-07	EC-07C	[6.264187434267241, 80.13174536314783]	92659.0
EC-07D	Bentara Elpitiya	LK	LK-3	LK-31	EC-07	EC-07D	[6.322219670639305, 80.14645886971881]	116143.0
EC-07E	Hiniduma	LK	LK-3	LK-31	EC-07	EC-07E	[6.300275184217292, 80.33933599752227]	129339.0
EC-07F	Baddegama	LK	LK-3	LK-31	EC-07	EC-07F	[6.141244000960145, 80.31407277072258]	124988.0
EC-07G	Ratgama	LK	LK-3	LK-31	EC-07	EC-07G	[6.1402965181701505, 80.12281834052438]	104333.0
EC-07H	Galle	LK	LK-3	LK-31	EC-07	EC-07H	[6.053681024321916, 80.20836801009361]	101749.0
EC-07I	Akmeemana	LK	LK-3	LK-31	EC-07	EC-07I	[6.066631132834631, 80.26355528260424]	128107.0
EC-07J	Habaraduwa	LK	LK-3	LK-31	EC-07	EC-07J	[6.018859699334581, 80.3411067020863]	107269.0
EC-08A	Deniyaya	LK	LK-3	LK-32	EC-08	EC-08A	[6.29185522313255, 80.52505872155882]	134150.0
EC-08B	Hakmana	LK	LK-3	LK-32	EC-08	EC-08B	[6.1836436142704, 80.60101355493826]	114414.0
EC-08C	Akuressa	LK	LK-3	LK-32	EC-08	EC-08C	[6.1102995155112, 80.46596569146608]	120072.0
