region_id	field_num	field_value
LK-8136150	0	524
LK-8136150	1	520
LK-8136150	2	4
LK-8136150	3	0
LK-5321035	0	324
LK-5321035	1	318
LK-5321035	2	6
LK-5321035	3	0
LK-5321030	0	371
LK-5321030	1	369
LK-5321030	2	2
LK-5321030	3	0
LK-1136335	0	358
LK-1136335	1	354
LK-1136335	2	4
LK-1136335	3	0
LK-8136155	0	322
LK-8136155	1	320
LK-8136155	2	0
LK-8136155	3	2
LK-1136330	0	461
LK-1136330	1	460
LK-1136330	2	1
LK-1136330	3	0
LK-2309010	0	74
LK-2309010	1	73
LK-2309010	2	1
LK-2309010	3	0
LK-2136295	0	290
LK-2136295	1	288
LK-2136295	2	2
LK-2136295	3	0
LK-2309015	0	117
LK-2309015	1	116
LK-2309015	2	1
LK-2309015	3	0
LK-2136290	0	365
LK-2136290	1	361
LK-2136290	2	2
LK-2136290	3	2
LK-6160035	0	152
LK-6160035	1	151
LK-6160035	2	1
LK-6160035	3	0
LK-6130240	0	192
LK-6130240	1	190
LK-6130240	2	2
LK-6130240	3	0
LK-6160030	0	341
LK-6160030	1	338
LK-6160030	2	3
LK-6160030	3	0
LK-6130245	0	198
LK-6130245	1	195
LK-6130245	2	3
LK-6130245	3	0
LK-3227005	0	272
LK-3227005	1	271
LK-3227005	2	1
LK-3227005	3	0
LK-5115020	0	818
LK-5115020	1	814
LK-5115020	2	4
LK-5115020	3	0
LK-3139210	0	641
LK-3139210	1	634
LK-3139210	2	7
LK-3139210	3	0
LK-5133200	0	335
LK-5133200	1	333
LK-5133200	2	2
LK-5133200	3	0
LK-9148130	0	818
LK-9148130	1	815
LK-9148130	2	3
LK-9148130	3	0
LK-3139215	0	110
LK-3139215	1	107
LK-3139215	2	2
LK-3139215	3	1
LK-1209185	0	258
LK-1209185	1	256
LK-1209185	2	2
LK-1209185	3	0
LK-1209180	0	282
LK-1209180	1	281
LK-1209180	2	1
LK-1209180	3	0
LK-2233325	0	346
LK-2233325	1	344
LK-2233325	2	2
LK-2233325	3	0
LK-2233320	0	272
LK-2233320	1	269
LK-2233320	2	3
LK-2233320	3	0
LK-6115055	0	194
LK-6115055	1	192
LK-6115055	2	2
LK-6115055	3	0
LK-5224080	0	340
LK-5224080	1	339
LK-5224080	2	1
LK-5224080	3	0
LK-6115050	0	234
LK-6115050	1	232
LK-6115050	2	2
LK-6115050	3	0
LK-7148160	0	564
LK-7148160	1	560
LK-7148160	2	4
LK-7148160	3	0
LK-6148130	0	204
LK-6148130	1	199
LK-6148130	2	5
LK-6148130	3	0
LK-6148135	0	185
LK-6148135	1	183
LK-6148135	2	2
LK-6148135	3	0
LK-4104005	0	229
LK-4104005	1	228
LK-4104005	2	1
LK-4104005	3	0
LK-6109055	0	192
LK-6109055	1	191
LK-6109055	2	1
LK-6109055	3	0
LK-3324065	0	576
LK-3324065	1	575
LK-3324065	2	1
LK-3324065	3	0
LK-8127040	0	159
LK-8127040	1	158
LK-8127040	2	1
LK-8127040	3	0
LK-5136180	0	306
LK-5136180	1	302
LK-5136180	2	4
LK-5136180	3	0
LK-6175105	0	282
LK-6175105	1	280
LK-6175105	2	2
LK-6175105	3	0
LK-5136185	0	327
LK-5136185	1	327
LK-5136185	2	0
LK-5136185	3	0
LK-7148165	0	594
LK-7148165	1	589
LK-7148165	2	5
LK-7148165	3	0
LK-9212200	0	365
LK-9212200	1	361
LK-9212200	2	3
LK-9212200	3	1
LK-3142125	0	281
LK-3142125	1	279
LK-3142125	2	2
LK-3142125	3	0
LK-9212205	0	326
LK-9212205	1	322
LK-9212205	2	4
LK-9212205	3	0
LK-6224130	0	172
LK-6224130	1	169
LK-6224130	2	3
LK-6224130	3	0
LK-3142120	0	229
LK-3142120	1	213
LK-3142120	2	15
LK-3142120	3	1
LK-8121035	0	481
LK-8121035	1	480
LK-8121035	2	1
LK-8121035	3	0
LK-2233140	0	450
LK-2233140	1	447
LK-2233140	2	3
LK-2233140	3	0
LK-2233145	0	417
LK-2233145	1	409
LK-2233145	2	2
LK-2233145	3	6
LK-3324060	0	342
LK-3324060	1	341
LK-3324060	2	1
LK-3324060	3	0
LK-3245080	0	389
LK-3245080	1	384
LK-3245080	2	5
LK-3245080	3	0
LK-3245085	0	195
LK-3245085	1	194
LK-3245085	2	1
LK-3245085	3	0
LK-5315210	0	666
LK-5315210	1	656
LK-5315210	2	9
LK-5315210	3	1
LK-8121030	0	932
LK-8121030	1	928
LK-8121030	2	3
LK-8121030	3	1
LK-9215005	0	566
LK-9215005	1	564
LK-9215005	2	2
LK-9215005	3	0
LK-8142020	0	853
LK-8142020	1	846
LK-8142020	2	6
LK-8142020	3	1
LK-6178385	0	659
LK-6178385	1	653
LK-6178385	2	6
LK-6178385	3	0
LK-9115140	0	501
LK-9115140	1	499
LK-9115140	2	2
LK-9115140	3	0
LK-1230220	0	245
LK-1230220	1	244
LK-1230220	2	1
LK-1230220	3	0
LK-8142025	0	801
LK-8142025	1	793
LK-8142025	2	8
LK-8142025	3	0
LK-1230225	0	427
LK-1230225	1	423
LK-1230225	2	3
LK-1230225	3	1
LK-9115145	0	537
LK-9115145	1	532
LK-9115145	2	5
LK-9115145	3	0
LK-3327060	0	162
LK-3327060	1	161
LK-3327060	2	1
LK-3327060	3	0
LK-3227105	0	341
LK-3227105	1	338
LK-3227105	2	3
LK-3227105	3	0
LK-3312110	0	628
LK-3312110	1	626
LK-3312110	2	2
LK-3312110	3	0
LK-1224130	0	690
LK-1224130	1	686
LK-1224130	2	1
LK-1224130	3	3
LK-6145280	0	306
LK-6145280	1	303
LK-6145280	2	3
LK-6145280	3	0
LK-3312115	0	627
LK-3312115	1	611
LK-3312115	2	16
LK-3312115	3	0
