id	name	country_id	province_id	district_id	ed_id	pd_id	centroid
EC-02E	Mirigama	LK	LK-1	LK-12	EC-02	EC-02E	[7.225208198125755, 80.12379051354476]
EC-02F	Minuwangoda	LK	LK-1	LK-12	EC-02	EC-02F	[7.1548612429554534, 79.97870591376683]
EC-02G	Attanagalla	LK	LK-1	LK-12	EC-02	EC-02G	[7.114046025573893, 80.11037789417648]
EC-02H	Gampaha	LK	LK-1	LK-12	EC-02	EC-02H	[7.070641351097315, 79.99301530047819]
EC-02I	Ja Ela	LK	LK-1	LK-12	EC-02	EC-02I	[7.071663627373289, 79.9088970765398]
EC-02J	Mahara	LK	LK-1	LK-12	EC-02	EC-02J	[7.028731284173429, 80.01466243376728]
EC-02K	Dompe	LK	LK-1	LK-12	EC-02	EC-02K	[6.990571039902515, 80.0990604465857]
EC-02L	Biyagama	LK	LK-1	LK-12	EC-02	EC-02L	[6.968969429870154, 79.97806727754273]
EC-02M	Kelaniya	LK	LK-1	LK-12	EC-02	EC-02M	[6.970154594143167, 79.90985013553869]
EC-03A	Panadura	LK	LK-1	LK-13	EC-03	EC-03A	[6.711938519588497, 79.919919904438]
EC-03B	Bandaragama	LK	LK-1	LK-13	EC-03	EC-03B	[6.686246259925108, 80.0041963740803]
EC-03C	Horana	LK	LK-1	LK-13	EC-03	EC-03C	[6.75926769565255, 80.09948882282923]
EC-03D	Bulathsinhala	LK	LK-1	LK-13	EC-03	EC-03D	[6.640496236487794, 80.15708506792393]
EC-03E	Mathugama	LK	LK-1	LK-13	EC-03	EC-03E	[6.525279837997575, 80.07079226087274]
EC-03F	Kalutara	LK	LK-1	LK-13	EC-03	EC-03F	[6.6184867707702555, 79.97189133669171]
EC-03G	Beruwala	LK	LK-1	LK-13	EC-03	EC-03G	[6.489021521249326, 80.00486845459614]
EC-03H	Agalawatta	LK	LK-1	LK-13	EC-03	EC-03H	[6.4671207380540014, 80.23039952193018]
EC-04A	Galagedara	LK	LK-2	LK-21	EC-04	EC-04A	[7.346768246584382, 80.49531936060924]
EC-04B	Harispattuwa	LK	LK-2	LK-21	EC-04	EC-04B	[7.372614721965147, 80.58520907929865]
EC-04C	Pathadumbara	LK	LK-2	LK-21	EC-04	EC-04C	[7.389189707519439, 80.71388590321997]
EC-04D	Ududumbara	LK	LK-2	LK-21	EC-04	EC-04D	[7.3378903265553355, 80.9106636744309]
