region_id	field_num	field_value
LK-8136150	0	0.7074235808
LK-8136150	1	0.8209606987
LK-8136150	2	0.4301310044
LK-8136150	3	0.731441048
LK-8136150	4	0.096069869
LK-8136150	5	0.0218340611
LK-8136150	6	0
LK-5321035	0	0.4880546075
LK-5321035	1	0.7303754266
LK-5321035	2	0.4778156997
LK-5321035	3	0.5938566553
LK-5321035	4	0.0068259386
LK-5321035	5	0
LK-5321035	6	0
LK-5321030	0	0.573964497
LK-5321030	1	0.8224852071
LK-5321030	2	0.4319526627
LK-5321030	3	0.6982248521
LK-5321030	4	0.0473372781
LK-5321030	5	0.0029585799
LK-5321030	6	0
LK-1136335	0	0.7750759878
LK-1136335	1	0.9392097264
LK-1136335	2	0.5136778116
LK-1136335	3	0.8753799392
LK-1136335	4	0.2188449848
LK-1136335	5	0.0911854103
LK-1136335	6	0
LK-8136155	0	0.6229508197
LK-8136155	1	0.6983606557
LK-8136155	2	0.1672131148
LK-8136155	3	0.7442622951
LK-8136155	4	0.0426229508
LK-8136155	5	0.0032786885
LK-8136155	6	0
LK-1136330	0	0.7780373832
LK-1136330	1	0.8668224299
LK-1136330	2	0.5373831776
LK-1136330	3	0.8551401869
LK-1136330	4	0.3481308411
LK-1136330	5	0.1845794393
LK-1136330	6	0.0070093458
LK-2309010	0	0.8695652174
LK-2309010	1	0.6376811594
LK-2309010	2	0.3768115942
LK-2309010	3	0.652173913
LK-2309010	4	0.0289855072
LK-2309010	5	0
LK-2309010	6	0
LK-2136295	0	0.7290076336
LK-2136295	1	0.8816793893
LK-2136295	2	0.4045801527
LK-2136295	3	0.858778626
LK-2136295	4	0.2786259542
LK-2136295	5	0.0877862595
LK-2136295	6	0.0038167939
LK-2309015	0	0.6442307692
LK-2309015	1	0.5576923077
LK-2309015	2	0.3846153846
LK-2309015	3	0.6538461538
LK-2309015	4	0.0192307692
LK-2309015	5	0
LK-2309015	6	0
LK-2136290	0	0.7674418605
LK-2136290	1	0.8953488372
LK-2136290	2	0.5581395349
LK-2136290	3	0.8604651163
LK-2136290	4	0.3139534884
LK-2136290	5	0.1191860465
LK-2136290	6	0.0058139535
LK-6160035	0	0.7391304348
LK-6160035	1	0.8115942029
LK-6160035	2	0.3115942029
LK-6160035	3	0.7536231884
LK-6160035	4	0.0652173913
LK-6160035	5	0.0217391304
LK-6160035	6	0
LK-6130240	0	0.7065868263
LK-6130240	1	0.8443113772
LK-6130240	2	0.251497006
LK-6130240	3	0.9101796407
LK-6130240	4	0.2035928144
LK-6130240	5	0.005988024
LK-6130240	6	0
LK-6160030	0	0.7192429022
LK-6160030	1	0.8769716088
LK-6160030	2	0.5867507886
LK-6160030	3	0.8391167192
LK-6160030	4	0.2902208202
LK-6160030	5	0.0820189274
LK-6160030	6	0
LK-6130245	0	0.7621621622
LK-6130245	1	0.8108108108
LK-6130245	2	0.4918918919
LK-6130245	3	0.7459459459
LK-6130245	4	0.1027027027
LK-6130245	5	0.0486486486
LK-6130245	6	0
LK-3227005	0	0.7419354839
LK-3227005	1	0.8024193548
LK-3227005	2	0.375
LK-3227005	3	0.7661290323
LK-3227005	4	0.0887096774
LK-3227005	5	0.0161290323
LK-3227005	6	0.0040322581
LK-5115020	0	0.6910039113
LK-5115020	1	0.7275097784
LK-5115020	2	0.2464146023
LK-5115020	3	0.8344198175
LK-5115020	4	0.1395045632
LK-5115020	5	0.0391134289
LK-5115020	6	0.001303781
LK-3139210	0	0.73283859
LK-3139210	1	0.8348794063
LK-3139210	2	0.4972170686
LK-3139210	3	0.8070500928
LK-3139210	4	0.2838589981
LK-3139210	5	0.1428571429
LK-3139210	6	0.0148423006
LK-5133200	0	0.1715328467
LK-5133200	1	0.1386861314
LK-5133200	2	0.0547445255
LK-5133200	3	0.6277372263
LK-5133200	4	0
LK-5133200	5	0
LK-5133200	6	0
LK-9148130	0	0.7229080933
LK-9148130	1	0.8024691358
LK-9148130	2	0.2990397805
LK-9148130	3	0.7997256516
LK-9148130	4	0.0795610425
LK-9148130	5	0.0274348422
LK-9148130	6	0.0013717421
LK-3139215	0	0.7826086957
LK-3139215	1	0.7608695652
LK-3139215	2	0.6086956522
LK-3139215	3	0.6847826087
LK-3139215	4	0.2391304348
LK-3139215	5	0.152173913
LK-3139215	6	0.0108695652
LK-1209185	0	0.7826086957
LK-1209185	1	0.852173913
LK-1209185	2	0.4565217391
LK-1209185	3	0.852173913
LK-1209185	4	0.2043478261
LK-1209185	5	0.0347826087
LK-1209185	6	0
LK-1209180	0	0.7322834646
LK-1209180	1	0.8661417323
LK-1209180	2	0.3818897638
LK-1209180	3	0.8385826772
LK-1209180	4	0.1732283465
LK-1209180	5	0.0275590551
LK-1209180	6	0.0039370079
LK-2233325	0	0.7880794702
LK-2233325	1	0.8311258278
LK-2233325	2	0.4105960265
LK-2233325	3	0.8443708609
LK-2233325	4	0.2052980132
LK-2233325	5	0.0562913907
LK-2233325	6	0
LK-2233320	0	0.6452991453
LK-2233320	1	0.6581196581
LK-2233320	2	0.2777777778
LK-2233320	3	0.7606837607
LK-2233320	4	0.1025641026
LK-2233320	5	0.0341880342
LK-2233320	6	0
LK-6115055	0	0.5730337079
LK-6115055	1	0.7134831461
LK-6115055	2	0.5449438202
LK-6115055	3	0.7078651685
LK-6115055	4	0.0449438202
LK-6115055	5	0.0112359551
LK-6115055	6	0.0056179775
LK-5224080	0	0.4838709677
LK-5224080	1	0.7935483871
LK-5224080	2	0.3258064516
LK-5224080	3	0.8709677419
LK-5224080	4	0.164516129
LK-5224080	5	0.064516129
LK-5224080	6	0.0096774194
LK-6115050	0	0.8605769231
LK-6115050	1	0.7019230769
LK-6115050	2	0.5096153846
LK-6115050	3	0.625
LK-6115050	4	0.0192307692
LK-6115050	5	0
LK-6115050	6	0
LK-7148160	0	0.7618110236
LK-7148160	1	0.8228346457
LK-7148160	2	0.4803149606
LK-7148160	3	0.7696850394
LK-7148160	4	0.0649606299
LK-7148160	5	0.0157480315
LK-7148160	6	0.0019685039
LK-6148130	0	0.8011049724
LK-6148130	1	0.7900552486
LK-6148130	2	0.4696132597
LK-6148130	3	0.8011049724
LK-6148130	4	0.1712707182
LK-6148130	5	0.044198895
LK-6148130	6	0
LK-6148135	0	0.6484848485
LK-6148135	1	0.7636363636
LK-6148135	2	0.4727272727
LK-6148135	3	0.7333333333
LK-6148135	4	0.1151515152
LK-6148135	5	0.0363636364
LK-6148135	6	0
LK-4104005	0	0.5260115607
LK-4104005	1	0.4566473988
LK-4104005	2	0.225433526
LK-4104005	3	0.7052023121
LK-4104005	4	0.0751445087
LK-4104005	5	0.0231213873
LK-4104005	6	0
LK-6109055	0	0.5852272727
LK-6109055	1	0.6988636364
LK-6109055	2	0.5170454545
LK-6109055	3	0.625
LK-6109055	4	0.0511363636
LK-6109055	5	0.0113636364
LK-6109055	6	0.0056818182
LK-3324065	0	0.6560509554
LK-3324065	1	0.838641189
LK-3324065	2	0.4840764331
LK-3324065	3	0.7770700637
LK-3324065	4	0.1146496815
LK-3324065	5	0.0106157113
LK-3324065	6	0.0063694268
LK-8127040	0	0.7945205479
LK-8127040	1	0.801369863
LK-8127040	2	0.6575342466
LK-8127040	3	0.5136986301
LK-8127040	4	0.0410958904
LK-8127040	5	0
LK-8127040	6	0
LK-5136180	0	0.4721189591
LK-5136180	1	0.8289962825
LK-5136180	2	0.3828996283
LK-5136180	3	0.8029739777
LK-5136180	4	0.1635687732
LK-5136180	5	0.0966542751
LK-5136180	6	0.0074349442
LK-6175105	0	0.6887159533
LK-6175105	1	0.7431906615
LK-6175105	2	0.3307392996
LK-6175105	3	0.8249027237
LK-6175105	4	0.093385214
LK-6175105	5	0.0544747082
LK-6175105	6	0
LK-5136185	0	0.5503597122
LK-5136185	1	0.8201438849
LK-5136185	2	0.5431654676
LK-5136185	3	0.8345323741
LK-5136185	4	0.1690647482
LK-5136185	5	0.0683453237
LK-5136185	6	0.0035971223
LK-7148165	0	0.8217636023
LK-7148165	1	0.8799249531
LK-7148165	2	0.4652908068
LK-7148165	3	0.818011257
LK-7148165	4	0.0900562852
LK-7148165	5	0.0150093809
LK-7148165	6	0
LK-9212200	0	0.7492537313
LK-9212200	1	0.8895522388
LK-9212200	2	0.5164179104
LK-9212200	3	0.7850746269
LK-9212200	4	0.152238806
LK-9212200	5	0.0208955224
LK-9212200	6	0.0029850746
LK-3142125	0	0.7886178862
LK-3142125	1	0.8699186992
LK-3142125	2	0.4349593496
LK-3142125	3	0.8821138211
LK-3142125	4	0.2764227642
LK-3142125	5	0.0894308943
LK-3142125	6	0
LK-9212205	0	0.734006734
LK-9212205	1	0.8787878788
LK-9212205	2	0.5185185185
LK-9212205	3	0.8215488215
LK-9212205	4	0.1919191919
LK-9212205	5	0.0471380471
LK-9212205	6	0
LK-6224130	0	0.6688741722
LK-6224130	1	0.7086092715
LK-6224130	2	0.298013245
LK-6224130	3	0.7682119205
LK-6224130	4	0
LK-6224130	5	0
LK-6224130	6	0
