id	name	centroid	province_id	district_id	dsd_id	ed_id
LK-2224	Laggala-Pallegama	[7.555012, 80.808891]	LK-2	LK-22	LK-2224	EC-05
LK-2227	Wilgamuwa	[7.604341, 80.929478]	LK-2	LK-22	LK-2227	EC-05
LK-2230	Rattota	[7.485898, 80.686088]	LK-2	LK-22	LK-2230	EC-05
LK-2233	Ukuwela	[7.429036, 80.637575]	LK-2	LK-22	LK-2233	EC-05
LK-2303	Kothmale	[7.039129, 80.65528]	LK-2	LK-23	LK-2303	EC-06
LK-2306	Hanguranketha	[7.119636, 80.777991]	LK-2	LK-23	LK-2306	EC-06
LK-2309	Walapane	[7.093551, 80.886836]	LK-2	LK-23	LK-2309	EC-06
LK-2312	Nuwara Eliya	[6.906816, 80.732128]	LK-2	LK-23	LK-2312	EC-06
LK-2315	Ambagamuwa	[6.864226, 80.569428]	LK-2	LK-23	LK-2315	EC-06
LK-3103	Bentota	[6.386772, 80.055454]	LK-3	LK-31	LK-3103	EC-07
LK-3106	Balapitiya	[6.314061, 80.051154]	LK-3	LK-31	LK-3106	EC-07
LK-3109	Karandeniya	[6.301087, 80.100619]	LK-3	LK-31	LK-3109	EC-07
LK-3112	Elpitiya	[6.290278, 80.18659]	LK-3	LK-31	LK-3112	EC-07
LK-3115	Niyagama	[6.302458, 80.252338]	LK-3	LK-31	LK-3115	EC-07
LK-3118	Thawalama	[6.292959, 80.355584]	LK-3	LK-31	LK-3118	EC-07
LK-3121	Neluwa	[6.360284, 80.410713]	LK-3	LK-31	LK-3121	EC-07
LK-3124	Nagoda	[6.19974, 80.312901]	LK-3	LK-31	LK-3124	EC-07
LK-3127	Baddegama	[6.136858, 80.220557]	LK-3	LK-31	LK-3127	EC-07
LK-3130	Welivitiya-Divithura	[6.20638, 80.180328]	LK-3	LK-31	LK-3130	EC-07
LK-3133	Ambalangoda	[6.222222, 80.102678]	LK-3	LK-31	LK-3133	EC-07
LK-3134	Gonapeenuwala	[6.166248, 80.131565]	LK-3	LK-31	LK-3134	EC-07
LK-3136	Hikkaduwa	[6.140332, 80.12245]	LK-3	LK-31	LK-3136	EC-07
LK-3139	Galle Four Gravets	[6.053681, 80.208368]	LK-3	LK-31	LK-3139	EC-07
LK-3142	Bope-Poddala	[6.084365, 80.216896]	LK-3	LK-31	LK-3142	EC-07
LK-3145	Akmeemana	[6.059003, 80.283624]	LK-3	LK-31	LK-3145	EC-07
LK-3148	Yakkalamulla	[6.106636, 80.359402]	LK-3	LK-31	LK-3148	EC-07
LK-3151	Imaduwa	[6.032726, 80.357797]	LK-3	LK-31	LK-3151	EC-07
LK-3154	Habaraduwa	[6.001453, 80.320156]	LK-3	LK-31	LK-3154	EC-07
LK-3203	Pitabeddara	[6.239243, 80.472722]	LK-3	LK-32	LK-3203	EC-08
LK-3206	Kotapola	[6.322861, 80.539399]	LK-3	LK-32	LK-3206	EC-08
LK-3209	Pasgoda	[6.275885, 80.608357]	LK-3	LK-32	LK-3209	EC-08
LK-3212	Mulatiyana	[6.146916, 80.586508]	LK-3	LK-32	LK-3212	EC-08
LK-3215	Athuraliya	[6.117276, 80.508634]	LK-3	LK-32	LK-3215	EC-08
LK-3218	Akuressa	[6.135035, 80.439998]	LK-3	LK-32	LK-3218	EC-08
LK-3221	Welipitiya	[6.016564, 80.438522]	LK-3	LK-32	LK-3221	EC-08
LK-3224	Malimbada	[6.019429, 80.498261]	LK-3	LK-32	LK-3224	EC-08
LK-3227	Kamburupitiya	[6.066382, 80.561388]	LK-3	LK-32	LK-3227	EC-08
LK-3230	Hakmana	[6.094866, 80.65004]	LK-3	LK-32	LK-3230	EC-08
LK-3233	Kirinda Puhulwella	[6.04612, 80.637126]	LK-3	LK-32	LK-3233	EC-08
LK-3236	Thihagoda	[6.009613, 80.560315]	LK-3	LK-32	LK-3236	EC-08
LK-3239	Weligama	[5.967343, 80.444049]	LK-3	LK-32	LK-3239	EC-08
LK-3242	Matara Four Gravets	[5.962922, 80.561951]	LK-3	LK-32	LK-3242	EC-08
LK-3245	Devinuwara	[5.975777, 80.614817]	LK-3	LK-32	LK-3245	EC-08
LK-3248	Dickwella	[5.985144, 80.673631]	LK-3	LK-32	LK-3248	EC-08
LK-3303	Sooriyawewa	[6.291738, 81.014106]	LK-3	LK-33	LK-3303	EC-09
LK-3306	Lunugamvehera	[6.332059, 81.166344]	LK-3	LK-33	LK-3306	EC-09
LK-3309	Thissamaharama	[6.380423, 81.45357]	LK-3	LK-33	LK-3309	EC-09
LK-3312	Hambantota	[6.204842, 81.121585]	LK-3	LK-33	LK-3312	EC-09
LK-3315	Ambalantota	[6.161052, 80.963092]	LK-3	LK-33	LK-3315	EC-09
LK-3318	Angunakolapelessa	[6.19318, 80.851912]	LK-3	LK-33	LK-3318	EC-09
LK-3321	Weeraketiya	[6.17203, 80.772002]	LK-3	LK-33	LK-3321	EC-09
LK-3324	Katuwana	[6.263726, 80.715721]	LK-3	LK-33	LK-3324	EC-09
LK-3325	Walasmulla	[6.199615, 80.681758]	LK-3	LK-33	LK-3325	EC-09
LK-3327	Okewela	[6.130432, 80.693096]	LK-3	LK-33	LK-3327	EC-09
LK-3330	Beliatta	[6.051035, 80.72053]	LK-3	LK-33	LK-3330	EC-09
LK-3333	Tangalle	[6.071986, 80.826178]	LK-3	LK-33	LK-3333	EC-09
LK-4103	Island North (Kayts)	[9.675509, 79.849934]	LK-4	LK-41	LK-4103	EC-10
LK-4104	Karainagar	[9.735372, 79.875397]	LK-4	LK-41	LK-4104	EC-10
LK-4106	Valikamam West (Chankanai)	[9.741462, 79.945935]	LK-4	LK-41	LK-4106	EC-10
