id	name	centroid	province_id	district_id	dsd_id	ed_id
LK-8119	Lunugala	[7.038373, 81.188135]	LK-8	LK-81	LK-8119	EC-19
LK-8121	Badulla	[6.986231, 81.088857]	LK-8	LK-81	LK-8121	EC-19
LK-8124	Hali-Ela	[6.945038, 81.020139]	LK-8	LK-81	LK-8124	EC-19
LK-8127	Uva Paranagama	[6.966606, 80.917512]	LK-8	LK-81	LK-8127	EC-19
LK-8130	Welimada	[6.85996, 80.880949]	LK-8	LK-81	LK-8130	EC-19
LK-8133	Bandarawela	[6.82978, 81.006462]	LK-8	LK-81	LK-8133	EC-19
LK-8136	Ella	[6.867709, 81.066475]	LK-8	LK-81	LK-8136	EC-19
LK-8139	Haputale	[6.792169, 80.962825]	LK-8	LK-81	LK-8139	EC-19
LK-8142	Haldummulla	[6.700947, 80.964469]	LK-8	LK-81	LK-8142	EC-19
LK-8203	Bibile	[7.189262, 81.296916]	LK-8	LK-82	LK-8203	EC-20
LK-8206	Madulla	[7.159372, 81.429896]	LK-8	LK-82	LK-8206	EC-20
LK-8209	Medagama	[7.05262, 81.29259]	LK-8	LK-82	LK-8209	EC-20
LK-8212	Siyambalanduwa	[6.850997, 81.526674]	LK-8	LK-82	LK-8212	EC-20
LK-8215	Moneragala	[6.831522, 81.355555]	LK-8	LK-82	LK-8215	EC-20
LK-8218	Badalkumbura	[6.869997, 81.216918]	LK-8	LK-82	LK-8218	EC-20
LK-8221	Wellawaya	[6.612795, 81.123411]	LK-8	LK-82	LK-8221	EC-20
LK-8224	Buttala	[6.655175, 81.294732]	LK-8	LK-82	LK-8224	EC-20
LK-8227	Katharagama	[6.497924, 81.411125]	LK-8	LK-82	LK-8227	EC-20
LK-8230	Thanamalvila	[6.493995, 81.013717]	LK-8	LK-82	LK-8230	EC-20
LK-8233	Sevanagala	[6.378145, 80.933665]	LK-8	LK-82	LK-8233	EC-20
LK-9103	Eheliyagoda	[6.839063, 80.243994]	LK-9	LK-91	LK-9103	EC-21
LK-9106	Kuruvita	[6.79273, 80.368502]	LK-9	LK-91	LK-9106	EC-21
LK-9109	Kiriella	[6.761346, 80.265646]	LK-9	LK-91	LK-9109	EC-21
LK-9112	Ratnapura	[6.730837, 80.484405]	LK-9	LK-91	LK-9112	EC-21
LK-9115	Imbulpe	[6.71469, 80.737742]	LK-9	LK-91	LK-9115	EC-21
LK-9118	Balangoda	[6.629404, 80.767917]	LK-9	LK-91	LK-9118	EC-21
LK-9121	Opanayake	[6.612096, 80.626426]	LK-9	LK-91	LK-9121	EC-21
LK-9124	Pelmadulla	[6.635656, 80.510086]	LK-9	LK-91	LK-9124	EC-21
LK-9127	Elapatha	[6.662017, 80.353491]	LK-9	LK-91	LK-9127	EC-21
LK-9130	Ayagama	[6.652552, 80.290211]	LK-9	LK-91	LK-9130	EC-21
LK-9133	Kalawana	[6.464411, 80.452266]	LK-9	LK-91	LK-9133	EC-21
LK-9136	Nivithigala	[6.570635, 80.457536]	LK-9	LK-91	LK-9136	EC-21
LK-9139	Kahawatta	[6.528196, 80.545651]	LK-9	LK-91	LK-9139	EC-21
LK-9142	Godakawela	[6.4992, 80.641571]	LK-9	LK-91	LK-9142	EC-21
LK-9145	Weligepola	[6.54248, 80.743669]	LK-9	LK-91	LK-9145	EC-21
LK-9148	Embilipitiya	[6.354551, 80.814716]	LK-9	LK-91	LK-9148	EC-21
LK-9151	Kolonna	[6.389909, 80.681587]	LK-9	LK-91	LK-9151	EC-21
LK-9203	Rambukkana	[7.323122, 80.386388]	LK-9	LK-92	LK-9203	EC-22
LK-9206	Mawanella	[7.22989, 80.473884]	LK-9	LK-92	LK-9206	EC-22
LK-9209	Aranayaka	[7.165299, 80.443382]	LK-9	LK-92	LK-9209	EC-22
LK-9212	Kegalle	[7.20865, 80.368333]	LK-9	LK-92	LK-9212	EC-22
LK-9215	Galigamuwa	[7.215606, 80.30541]	LK-9	LK-92	LK-9215	EC-22
LK-9218	Warakapola	[7.203734, 80.231718]	LK-9	LK-92	LK-9218	EC-22
LK-9221	Ruwanwella	[7.063652, 80.218767]	LK-9	LK-92	LK-9221	EC-22
LK-9224	Bulathkohupitiya	[7.097348, 80.358286]	LK-9	LK-92	LK-9224	EC-22
LK-9227	Yatiyanthota	[7.028376, 80.369524]	LK-9	LK-92	LK-9227	EC-22
LK-9230	Dehiovita	[6.939028, 80.280895]	LK-9	LK-92	LK-9230	EC-22
LK-9233	Deraniyagala	[6.90682, 80.402205]	LK-9	LK-92	LK-9233	EC-22
