id	name	country_id	province_id	district_id	ed_id	pd_id	centroid
EC-07A	Balapitiya	LK	LK-3	LK-31	EC-07	EC-07A	[6.314060551636422, 80.05115357189187]
EC-07B	Ambalangoda	LK	LK-3	LK-31	EC-07	EC-07B	[6.191176832767343, 80.12362421561865]
EC-07C	Karandeniya	LK	LK-3	LK-31	EC-07	EC-07C	[6.264314917453256, 80.13127458700731]
EC-07D	Bentara Elpitiya	LK	LK-3	LK-31	EC-07	EC-07D	[6.322219670639319, 80.14645886971903]
EC-07E	Hiniduma	LK	LK-3	LK-31	EC-07	EC-07E	[6.300707447408562, 80.34057514457221]
EC-07F	Baddegama	LK	LK-3	LK-31	EC-07	EC-07F	[6.141591805451745, 80.31384220535597]
EC-07G	Ratgama	LK	LK-3	LK-31	EC-07	EC-07G	[6.1403144106763925, 80.12280193226279]
EC-07H	Galle	LK	LK-3	LK-31	EC-07	EC-07H	[6.053681024321904, 80.20836801009342]
EC-07I	Akmeemana	LK	LK-3	LK-31	EC-07	EC-07I	[6.066662711985377, 80.26354765054148]
EC-07J	Habaraduwa	LK	LK-3	LK-31	EC-07	EC-07J	[6.018958164784608, 80.34123594828145]
EC-08A	Deniyaya	LK	LK-3	LK-32	EC-08	EC-08A	[6.291909505571724, 80.5256348463042]
EC-08B	Hakmana	LK	LK-3	LK-32	EC-08	EC-08B	[6.183643614270416, 80.60101355493832]
EC-08C	Akuressa	LK	LK-3	LK-32	EC-08	EC-08C	[6.110676806070786, 80.46660734900615]
EC-08D	Kamburupitiya	LK	LK-3	LK-32	EC-08	EC-08D	[6.044746054879725, 80.58894625093983]
EC-08E	Devinuwara	LK	LK-3	LK-32	EC-08	EC-08E	[5.981324924594711, 80.64890865407307]
EC-08F	Matara	LK	LK-3	LK-32	EC-08	EC-08F	[5.96310385305665, 80.56171561077417]
EC-08G	Weligama	LK	LK-3	LK-32	EC-08	EC-08G	[5.997992083964287, 80.44095292333043]
EC-09A	Mulkirigala	LK	LK-3	LK-33	EC-09	EC-09A	[6.215419449031405, 80.72122735968853]
