id	moh_id	name	province_id	district_id	ed_id	centroid
MOH-22007	MOH-22007	GALEWELA	LK-2	LK-22	EC-05	[7.775632792506644, 80.57008639657725]
MOH-22008	MOH-22008	LAGGALA-PALLEGAMA	LK-2	LK-22	EC-05	[7.570155299278659, 80.82261635429731]
MOH-22009	MOH-22009	MATALE	LK-2	LK-22	EC-05	[7.551473194143057, 80.6334979737483]
MOH-22010	MOH-22010	WILGAMUWA	LK-2	LK-22	EC-05	[7.609675226278796, 80.92866789820502]
MOH-22011	MOH-22011	UKUWELA	LK-2	LK-22	EC-05	[7.429390391857965, 80.63920796726943]
MOH-21001	MOH-21001	MENIKHINNA	LK-2	LK-21	EC-04	[7.321183131164176, 80.6977977578854]
MOH-21002	MOH-21002	KUNDASALE	LK-2	LK-21	EC-04	[7.288347906421006, 80.72248516066176]
MOH-21003	MOH-21003	KANDY FOUR GRAVETS & GANGAWATA KORALE	LK-2	LK-21	EC-04	[7.27274286564722, 80.63849400090308]
MOH-21004	MOH-21004	PASBAGE KORALE	LK-2	LK-21	EC-04	[7.018276679648395, 80.53651314248765]
MOH-21005	MOH-21005	UDUNUWARA	LK-2	LK-21	EC-04	[7.230844079674826, 80.5782393186461]
MOH-21006	MOH-21006	BAMBARADENIYA	LK-2	LK-21	EC-04	[7.216104241459544, 80.54461481852427]
MOH-21007	MOH-21007	UDAPALATHA	LK-2	LK-21	EC-04	[7.12880595147735, 80.59728172583715]
MOH-21008	MOH-21008	DELTHOTA	LK-2	LK-21	EC-04	[7.182951734327169, 80.70045316188283]
MOH-21009	MOH-21009	POOJAPITIYA	LK-2	LK-21	EC-04	[7.400489069061113, 80.56601184691162]
MOH-21010	MOH-21010	HARISPATTUWA	LK-2	LK-21	EC-04	[7.32858089769714, 80.58758751768764]
MOH-21011	MOH-21011	YATINUWARA	LK-2	LK-21	EC-04	[7.282447484726425, 80.53811383851323]
MOH-21012	MOH-21012	GANGA IHALA KORALE	LK-2	LK-21	EC-04	[7.110976302034027, 80.51535614173973]
MOH-21013	MOH-21013	DOLUWA	LK-2	LK-21	EC-04	[7.164169060632339, 80.64839399488356]
MOH-21014	MOH-21014	THUMPANE	LK-2	LK-21	EC-04	[7.366956395676799, 80.51435323346733]
MOH-21015	MOH-21015	HATHARALIYADDA	LK-2	LK-21	EC-04	[7.331514356120692, 80.48071886321453]
MOH-21016	MOH-21016	PATHAHEWAHETA	LK-2	LK-21	EC-04	[7.229993970215326, 80.70690972254901]
MOH-21017	MOH-21017	UDADUMBARA	LK-2	LK-21	EC-04	[7.3298389048160955, 80.87533602361772]
MOH-21018	MOH-21018	AKURANA	LK-2	LK-21	EC-04	[7.390593760017449, 80.61877225543113]
MOH-21019	MOH-21019	MEDADUMBARA	LK-2	LK-21	EC-04	[7.30253429101804, 80.79993497096396]
MOH-21020	MOH-21020	PANVILA	LK-2	LK-21	EC-04	[7.409797392816989, 80.74069806760436]
MOH-21021	MOH-21021	PATHADUMBARA	LK-2	LK-21	EC-04	[7.349092973851065, 80.66161150376941]
MOH-21022	MOH-21022	MINIPE	LK-2	LK-21	EC-04	[7.346838391758865, 80.94992557539693]
MOH-33001	MOH-33001	KATUWANA	LK-3	LK-33	EC-09	[6.263725510620802, 80.71572062976978]
MOH-33002	MOH-33002	TANGALLE	LK-3	LK-33	EC-09	[6.071985482097625, 80.8261772822056]
MOH-33003	MOH-33003	AMBALANTOTA	LK-3	LK-33	EC-09	[6.161052089483598, 80.96309175797592]
MOH-33004	MOH-33004	WEERAKETIYA	LK-3	LK-33	EC-09	[6.172030318789996, 80.77200189490418]
MOH-33005	MOH-33005	ANGUNUKOLAPELES	LK-3	LK-33	EC-09	[6.193917101216349, 80.85173243798039]
MOH-33006	MOH-33006	BELIATTA	LK-3	LK-33	EC-09	[6.050375429587911, 80.72077310584461]
MOH-33007	MOH-33007	OKEWELA	LK-3	LK-33	EC-09	[6.130162908460264, 80.69318169211358]
MOH-33008	MOH-33008	WALASMULLA	LK-3	LK-33	EC-09	[6.199614627706828, 80.68175765863143]
MOH-33009	MOH-33009	HAMBANTOTA	LK-3	LK-33	EC-09	[6.178747620461258, 81.08935687818655]
MOH-33010	MOH-33010	TISSAMAHARAMA	LK-3	LK-33	EC-09	[6.400222852943649, 81.47804754445445]
MOH-33011	MOH-33011	LUNUGAMVEHERA	LK-3	LK-33	EC-09	[6.333403740079697, 81.16231291565907]
MOH-33012	MOH-33012	SOORIYAWEWA	LK-3	LK-33	EC-09	[6.2917376371798825, 81.01410563053035]
MOH-31001	MOH-31001	IMADUWA	LK-3	LK-31	EC-07	[6.032651570655569, 80.35843599382038]
MOH-31002	MOH-31002	KARANDENIYA	LK-3	LK-31	EC-07	[6.301087413192971, 80.10061874851114]
MOH-31003	MOH-31003	BALAPITIYA	LK-3	LK-31	EC-07	[6.314060551636422, 80.05115357189187]
MOH-31004	MOH-31004	NAGODA	LK-3	LK-31	EC-07	[6.19973971273322, 80.31290137681611]
MOH-31005	MOH-31005	ELPITIYA	LK-3	LK-31	EC-07	[6.29053593943093, 80.18453148658469]
MOH-31006	MOH-31006	HIKKADUWA	LK-3	LK-31	EC-07	[6.168811402595373, 80.0971112739959]
MOH-31007	MOH-31007	RATHGAMA	LK-3	LK-31	EC-07	[6.101209629344156, 80.15742096085785]
MOH-31008	MOH-31008	AKMEEMANA	LK-3	LK-31	EC-07	[6.059039487146674, 80.28363707182899]
MOH-31009	MOH-31009	GONAPINUWALA	LK-3	LK-31	EC-07	[6.166248498058234, 80.13156464139583]
MOH-31010	MOH-31010	AMBALANGODA	LK-3	LK-31	EC-07	[6.222222000512803, 80.10267808241323]
MOH-31011	MOH-31011	BADDEGAMA	LK-3	LK-31	EC-07	[6.137028523736836, 80.22022551921191]
MOH-31012	MOH-31012	BENTOTA	LK-3	LK-31	EC-07	[6.386771975717165, 80.05545355870781]
MOH-31013	MOH-31013	BOPE-PODDALA	LK-3	LK-31	EC-07	[6.0843652734774585, 80.21689623684021]
MOH-31014	MOH-31014	HABARADUWA	LK-3	LK-31	EC-07	[6.001751986824181, 80.31962357169256]
MOH-31015	MOH-31015	NELUWA	LK-3	LK-31	EC-07	[6.360283867102839, 80.41071259627019]
MOH-31016	MOH-31016	NIYAGAMA	LK-3	LK-31	EC-07	[6.300177626863773, 80.25359227151958]
MOH-31017	MOH-31017	THAWALAMA	LK-3	LK-31	EC-07	[6.292959323325119, 80.35558372569933]
MOH-31018	MOH-31018	WELIVITIYA-DIVITHURA	LK-3	LK-31	EC-07	[6.207736608581211, 80.18194976099502]
MOH-31019	MOH-31019	YAKKALAMULLA	LK-3	LK-31	EC-07	[6.106994849547429, 80.3595308513973]
MOH-31020	MOH-31020	GALLE FOUR GRAVETS	LK-3	LK-31	EC-07	[6.053681024321904, 80.20836801009342]
MOH-52001	MOH-52001	ALAYADIVEMBU	LK-5	LK-52	EC-13	[7.180334441077944, 81.80308707492101]
MOH-52002	MOH-52002	AKKARAIPATTU	LK-5	LK-52	EC-13	[7.215884357466745, 81.78590617348826]
MOH-52003	MOH-52003	KALNUMAI NORTH ( TAMIL DIV )	LK-5	LK-52	EC-13	[7.423979739130923, 81.81549725768444]
MOH-52004	MOH-52004	IRAKKAMAM	LK-5	LK-52	EC-13	
MOH-52005	MOH-52005	ADDACHCHENAI	LK-5	LK-52	EC-13	[7.2735366293512005, 81.82095751095376]
MOH-52006	MOH-52006	KALMUNAI SOUTH ( MUSLIM DIV )	LK-5	LK-52	EC-13	[7.41711769170938, 81.8229722486707]
MOH-52007	MOH-52007	SAMMANTHURAI	LK-5	LK-52	EC-13	[7.331793867989288, 81.76425473735023]
MOH-52008	MOH-52008	THIRUKKOVIL	LK-5	LK-52	EC-13	[7.0767003807940165, 81.77309812413607]
MOH-52009	MOH-52009	SAINTHAMARUTHU	LK-5	LK-52	EC-13	[7.386380162540526, 81.83108534682735]
MOH-52010	MOH-52010	POTTUVIL	LK-5	LK-52	EC-13	[6.955424167800247, 81.79989085590005]
MOH-52011	MOH-52011	NINTHAVUR	LK-5	LK-52	EC-13	[7.331614536218272, 81.8409108257347]
MOH-52012	MOH-52012	NAVITHANVELI	LK-5	LK-52	EC-13	[7.417425417202755, 81.76460210472364]
MOH-52013	MOH-52013	KARAITHIVU	LK-5	LK-52	EC-13	[7.370720399182026, 81.83699701423866]
MOH-51001	MOH-51001	ARAYAMPATHY	LK-5	LK-51	EC-12	[7.639266607423102, 81.75381274293271]
MOH-51002	MOH-51002	VALAICHENAI	LK-5	LK-51	EC-12	[7.861650662210003, 81.37602509781469]
MOH-51003	MOH-51003	VELLAVELI	LK-5	LK-51	EC-12	[7.4995885821858055, 81.70680545058421]
MOH-51004	MOH-51004	VAVUNATHIVU	LK-5	LK-51	EC-12	[7.63173218980525, 81.5958146018849]
MOH-51005	MOH-51005	VAKARAI	LK-5	LK-51	EC-12	[8.065944201745681, 81.40885956357701]
MOH-51006	MOH-51006	CHENKALADY	LK-5	LK-51	EC-12	[7.714833100856562, 81.46653968712263]
MOH-51007	MOH-51007	PADDIPALAI	LK-5	LK-51	EC-12	[7.560907293563907, 81.64314924532091]
MOH-51008	MOH-51008	OTTAMAVADI	LK-5	LK-51	EC-12	[7.906565676602976, 81.54587508074526]
MOH-51009	MOH-51009	KIRAN	LK-5	LK-51	EC-12	[7.921997956927611, 81.49420596616878]
MOH-51010	MOH-51010	KORALAIPATTU ( ODDMAVADI CENTRAL )	LK-5	LK-51	EC-12	[7.930662003610648, 81.51714745805265]
MOH-51011	MOH-51011	ERAVUR	LK-5	LK-51	EC-12	[7.7827231279825675, 81.61388779087493]
MOH-51012	MOH-51012	KATTANKUDY	LK-5	LK-51	EC-12	[7.682747940225716, 81.7321197309202]
MOH-51013	MOH-51013	KALUWANCHIKUDY	LK-5	LK-51	EC-12	[7.522464555895918, 81.79090815808505]
MOH-51014	MOH-51014	BATTICALOA	LK-5	LK-51	EC-12	[7.7292789931373855, 81.68565527905771]
MOH-53001	MOH-53001	KINNIYA	LK-5	LK-53	EC-14	[8.432267955164335, 81.16326645795952]
MOH-53002	MOH-53002	KANTHALE	LK-5	LK-53	EC-14	[8.345953718495347, 81.05671494179138]
MOH-53003	MOH-53003	KUCHCHAVELI	LK-5	LK-53	EC-14	[8.800632361167574, 81.05374334410536]
MOH-53004	MOH-53004	MUTHUR	LK-5	LK-53	EC-14	[8.426250863199325, 81.28901423821284]
MOH-53005	MOH-53005	PADAVI SRI PURA	LK-5	LK-53	EC-14	[8.915611887141234, 80.85212008135507]
MOH-53006	MOH-53006	GOMARANKADAWALA	LK-5	LK-53	EC-14	[8.677164075503937, 80.99376074629146]
MOH-53007	MOH-53007	SERUVILA	LK-5	LK-53	EC-14	[8.293938142992445, 81.24614435318095]
MOH-53008	MOH-53008	THAMPALAGAMAM	LK-5	LK-53	EC-14	[8.492791452208614, 81.0495347474092]
MOH-53009	MOH-53009	UPPUVELI	LK-5	LK-53	EC-14	[8.584645420027936, 81.16931056799311]
MOH-53010	MOH-53010	TRINCOMALEE	LK-5	LK-53	EC-14	[8.569736279802612, 81.2275019222272]
MOH-53011	MOH-53011	EACHCHILAMPATRU	LK-5	LK-53	EC-14	[8.297136879431655, 81.34739630567825]
MOH-52014	MOH-52014	AMPARA	LK-5	LK-52	EC-13	[7.272775241562752, 81.59153154406171]
MOH-52015	MOH-52015	DAMANA	LK-5	LK-52	EC-13	[7.141501982709653, 81.62854198199923]
MOH-52016	MOH-52016	DEHIYATHAKANDIYA	LK-5	LK-52	EC-13	[7.605451162950512, 81.06831754783919]
MOH-52017	MOH-52017	LAHUGALA	LK-5	LK-52	EC-13	[6.906710748893988, 81.72767753092529]
MOH-52018	MOH-52018	MAHAOYA	LK-5	LK-52	EC-13	[7.562786425127664, 81.34875332900297]
MOH-52019	MOH-52019	PADIYATHALAWA	LK-5	LK-52	EC-13	[7.426947776080791, 81.2622542488307]
MOH-52020	MOH-52020	UHANA	LK-5	LK-52	EC-13	[7.3975347061253425, 81.59316903228303]
MOH-41001	MOH-41001	KAYTS	LK-4	LK-41	EC-10	[9.62088733315226, 79.83659623196885]
MOH-41002	MOH-41002	CHAVAKACHCHERI	LK-4	LK-41	EC-10	[9.674018319934977, 80.19180448858398]
MOH-41003	MOH-41003	NALLUR	LK-4	LK-41	EC-10	[9.681873312708944, 80.03313796721426]
MOH-41004	MOH-41004	JAFFNA	LK-4	LK-41	EC-10	[9.663160213933983, 80.02158400688336]
MOH-41005	MOH-41005	UDUVIL	LK-4	LK-41	EC-10	[9.744411702170982, 80.03444170211145]
MOH-41006	MOH-41006	KOPAY	LK-4	LK-41	EC-10	[9.74072531105465, 80.0929977932276]
MOH-41007	MOH-41007	POINT PEDRO	LK-4	LK-41	EC-10	[9.666127320265211, 80.36075668105575]
MOH-41008	MOH-41008	TELLIPALAI	LK-4	LK-41	EC-10	[9.788953445427273, 80.04074293910465]
MOH-41009	MOH-41009	SANDILIPAY	LK-4	LK-41	EC-10	[9.750608151976342, 79.98090345875441]
MOH-41010	MOH-41010	CHANKANAI	LK-4	LK-41	EC-10	[9.739659515703693, 79.94897733130189]
MOH-41011	MOH-41011	KARAVEDDY	LK-4	LK-41	EC-10	[9.7939399115585, 80.18574626361497]
MOH-44001	MOH-44001	ODDUSUDDAN	LK-4	LK-44	EC-11	[8.98924463631944, 80.84322551341495]
MOH-44002	MOH-44002	MANTHAI EAST	LK-4	LK-44	EC-11	
MOH-44003	MOH-44003	MULLAITIVU	LK-4	LK-44	EC-11	[8.96627829127041, 80.7373424454668]
MOH-44004	MOH-44004	PUTHUKKUDIYIRUPPU	LK-4	LK-44	EC-11	[8.992118758466228, 80.7729980652881]
MOH-44005	MOH-44005	MALLAVI	LK-4	LK-44	EC-11	
MOH-43001	MOH-43001	VAVUNIYA	LK-4	LK-43	EC-11	[8.834602973219454, 80.4563280796779]
MOH-43002	MOH-43002	VAVUNIYA SOUTH	LK-4	LK-43	EC-11	[8.747432177728745, 80.52819719616353]
MOH-43003	MOH-43003	WELIOYA	LK-4	LK-43	EC-11	[8.886504234367848, 80.48950328151699]
MOH-43004	MOH-43004	CHEDDIKULAM	LK-4	LK-43	EC-11	[8.69316243141726, 80.29616304599523]
MOH-43005	MOH-43005	VAVUNIYA NORTH	LK-4	LK-43	EC-11	[9.01101193559195, 80.57271795394054]
MOH-42001	MOH-42001	NANATTAN	LK-4	LK-42	EC-11	[8.828939990056545, 79.99821084490763]
MOH-42002	MOH-42002	MANNAR TOWN	LK-4	LK-42	EC-11	[9.130980147708778, 80.13576513547243]
MOH-42003	MOH-42003	MANTHAI WEST	LK-4	LK-42	EC-11	[9.034438572452176, 80.09789863203959]
MOH-42004	MOH-42004	MUSALAI	LK-4	LK-42	EC-11	[8.67640548241903, 80.0207061799515]
MOH-42005	MOH-42005	MADHU	LK-4	LK-42	EC-11	
MOH-45001	MOH-45001	KILINOCHCHI	LK-4	LK-45	EC-10	[9.361332610668956, 80.37575130787938]
MOH-45002	MOH-45002	POONAKARY	LK-4	LK-45	EC-10	[9.361247297541812, 80.18596117608853]
MOH-45003	MOH-45003	KANDAWALAI	LK-4	LK-45	EC-10	[9.441279645954012, 80.48767211490224]
MOH-45004	MOH-45004	PALAI	LK-4	LK-45	EC-10	[9.587893157352278, 80.35662971540762]
MOH-91001	MOH-91001	AYAGAMA	LK-9	LK-91	EC-21	[6.652391606280978, 80.28951112702482]
MOH-91002	MOH-91002	BALANGODA	LK-9	LK-91	EC-21	[6.627789958707949, 80.77201485069901]
MOH-91003	MOH-91003	EHELIYAGODA	LK-9	LK-91	EC-21	[6.837496006855171, 80.2275377921677]
MOH-91004	MOH-91004	ELAPATHA	LK-9	LK-91	EC-21	[6.662016829364123, 80.35349145185562]
MOH-91005	MOH-91005	EMBILIPITIYA	LK-9	LK-91	EC-21	[6.3518403611863565, 80.81739207597805]
MOH-91006	MOH-91006	GODAKAWELA	LK-9	LK-91	EC-21	[6.499133274708964, 80.64163133566609]
MOH-91007	MOH-91007	IMBULPE	LK-9	LK-91	EC-21	[6.714690151507568, 80.73774205795125]
MOH-91008	MOH-91008	KAHAWATHTHA	LK-9	LK-91	EC-21	[6.528196192575513, 80.54565127223923]
MOH-91009	MOH-91009	KALAWANA	LK-9	LK-91	EC-21	[6.464410974242059, 80.45226581835111]
MOH-91010	MOH-91010	KIRIELLA	LK-9	LK-91	EC-21	[6.75859706470246, 80.27393460189616]
MOH-91011	MOH-91011	KOLONNA	LK-9	LK-91	EC-21	[6.39176902907503, 80.68635527055393]
MOH-91012	MOH-91012	KURUWITA	LK-9	LK-91	EC-21	[6.797913947253467, 80.35660687728307]
MOH-91013	MOH-91013	NIVITHIGALA	LK-9	LK-91	EC-21	[6.570634913735899, 80.45753611018795]
MOH-91014	MOH-91014	OPANAYAKA	LK-9	LK-91	EC-21	[6.611903632792622, 80.62551441586407]
MOH-91015	MOH-91015	PELMADULLA	LK-9	LK-91	EC-21	[6.635655550059733, 80.51008591322882]
MOH-91016	MOH-91016	RATNAPURA-MC	LK-9	LK-91	EC-21	[6.682695622143192, 80.41795215290112]
MOH-91017	MOH-91017	RATNAPURA	LK-9	LK-91	EC-21	[6.735557738544431, 80.48927913142636]
MOH-91018	MOH-91018	WELIGEPOLA	LK-9	LK-91	EC-21	[6.542479839231134, 80.74366917370331]
MOH-72001	MOH-72001	DIMBULAGALA	LK-7	LK-72	EC-18	[7.788374772658488, 81.12401521677815]
MOH-72002	MOH-72002	ELAHERA	LK-7	LK-72	EC-18	[7.809039354053883, 80.84181551965584]
MOH-72003	MOH-72003	HINGURAKGODA	LK-7	LK-72	EC-18	[8.105430268446757, 80.87183256478177]
MOH-72004	MOH-72004	LANKAPURA	LK-7	LK-72	EC-18	[8.056454858918167, 81.09527663478156]
MOH-72005	MOH-72005	MEDIRIGIRIYA	LK-7	LK-72	EC-18	[8.184528198880939, 81.04036146268672]
MOH-72006	MOH-72006	THAMANKADUWA	LK-7	LK-72	EC-18	[7.873103966349022, 80.98784058307928]
MOH-72007	MOH-72007	WELIKANDA	LK-7	LK-72	EC-18	[8.04127713105193, 81.23452711113278]
MOH-92001	MOH-92001	ARANAYAKA	LK-9	LK-92	EC-22	[7.17201172363749, 80.44535798147507]
MOH-92002	MOH-92002	BULATHKOHUPITIYA	LK-9	LK-92	EC-22	[7.097348134020371, 80.35828595257861]
MOH-92003	MOH-92003	DEHIOVITA	LK-9	LK-92	EC-22	[6.939019774622646, 80.28090307426763]
MOH-92004	MOH-92004	DERANIYAGALA	LK-9	LK-92	EC-22	[6.906897251718921, 80.40284603505253]
MOH-92005	MOH-92005	GALIGAMUWA	LK-9	LK-92	EC-22	[7.215154444235604, 80.30543901147466]
MOH-92006	MOH-92006	KEGALLE	LK-9	LK-92	EC-22	[7.1967275272608004, 80.37638231668261]
MOH-92007	MOH-92007	MAWANELLA	LK-9	LK-92	EC-22	[7.230010583357911, 80.47371213457335]
MOH-92008	MOH-92008	RAMBUKKANA	LK-9	LK-92	EC-22	[7.318517923876358, 80.38769540804086]
MOH-92009	MOH-92009	RUWANWELLA	LK-9	LK-92	EC-22	[7.063651710605723, 80.21876706170565]
MOH-92010	MOH-92010	WARAKAPOLA	LK-9	LK-92	EC-22	[7.203836260825074, 80.23218478513583]
MOH-92011	MOH-92011	YATIYANTHOTA	LK-9	LK-92	EC-22	[7.033594086240925, 80.36864992682331]
MOH-81001	MOH-81001	Welimada	LK-8	LK-81	EC-19	[6.8599597277689055, 80.88094943891551]
MOH-81002	MOH-81002	Rideemaliyadda	LK-8	LK-81	EC-19	[7.259411445998932, 81.13390102771687]
MOH-81003	MOH-81003	Uva Paranagama	LK-8	LK-81	EC-19	[6.9674005462392685, 80.91732620282653]
MOH-81004	MOH-81004	Haliela	LK-8	LK-81	EC-19	[6.952733060586659, 81.02255542150345]
MOH-81005	MOH-81005	Mahiyanganaya	LK-8	LK-81	EC-19	[7.420345742395472, 81.11618527477223]
MOH-81006	MOH-81006	Lunugala	LK-8	LK-81	EC-19	[7.038373414756806, 81.18813494972892]
MOH-81007	MOH-81007	Haputhale	LK-8	LK-81	EC-19	[6.792168953538015, 80.96282487348425]
MOH-81008	MOH-81008	Badulla	LK-8	LK-81	EC-19	[6.987097182197349, 81.08816928547981]
MOH-81009	MOH-81009	Soranathota	LK-8	LK-81	EC-19	[7.0456303695515, 81.04952072576522]
MOH-81010	MOH-81010	Haldummulla	LK-8	LK-81	EC-19	[6.70094697599555, 80.96446860105893]
MOH-81011	MOH-81011	Kandaketiya	LK-8	LK-81	EC-19	[7.1307393665877585, 80.9940744614972]
MOH-81012	MOH-81012	Girandurukotte	LK-8	LK-81	EC-19	[7.48538163190231, 81.01182622391009]
MOH-81013	MOH-81013	Ella	LK-8	LK-81	EC-19	[6.867708608944537, 81.06647521385416]
MOH-81014	MOH-81014	Meegahakivula	LK-8	LK-81	EC-19	[7.125470637713869, 81.0832273507071]
MOH-81015	MOH-81015	Bandarawela	LK-8	LK-81	EC-19	[6.829623699594795, 81.00654517579513]
MOH-81016	MOH-81016	Passara	LK-8	LK-81	EC-19	[6.965022544711373, 81.14793721285845]
MOH-71001	MOH-71001	HOROWPOTHANA	LK-7	LK-71	EC-17	[8.512129885656288, 80.85071077894854]
MOH-71002	MOH-71002	NUWARAGAM PALATHA CENTRAL	LK-7	LK-71	EC-17	[8.491230159592314, 80.24718145824865]
MOH-71003	MOH-71003	IPALOGAMA	LK-7	LK-71	EC-17	[8.08646594944049, 80.50773705127159]
MOH-71004	MOH-71004	KAHATAGASDIGILIYA	LK-7	LK-71	EC-17	[8.42280321104469, 80.7115999536312]
MOH-71005	MOH-71005	NUWARAGAM PALATHA EAST	LK-7	LK-71	EC-17	[8.283114457264123, 80.4257158613188]
MOH-71006	MOH-71006	KEBITHIGOLLEWA	LK-7	LK-71	EC-17	[8.717652911578384, 80.7092295655233]
MOH-71007	MOH-71007	THIRAPPANE	LK-7	LK-71	EC-17	[8.206243166336439, 80.5469141179323]
MOH-71008	MOH-71008	PADAVIYA	LK-7	LK-71	EC-17	[8.85196082351102, 80.78452913248886]
MOH-71009	MOH-71009	GALENBIDUNUWAWE	LK-7	LK-71	EC-17	[8.266313424025016, 80.70699230647557]
MOH-71010	MOH-71010	MEDAWACHCHIYA	LK-7	LK-71	EC-17	[8.58865921071105, 80.49694323374071]
MOH-71011	MOH-71011	KEKIRAWA	LK-7	LK-71	EC-17	[8.067227781429642, 80.65931943136191]
MOH-71012	MOH-71012	THAMBUTTEGAMA	LK-7	LK-71	EC-17	[8.15553435191302, 80.31630780260397]
MOH-71013	MOH-71013	GALNEWA	LK-6	LK-61	EC-15	[8.020257401283034, 80.45006760005994]
MOH-71014	MOH-71014	MIHINTALE	LK-7	LK-71	EC-17	[8.350028889262145, 80.54308898723426]
MOH-71015	MOH-71015	RAMBEWA	LK-7	LK-71	EC-17	[8.475896017405566, 80.55081880702889]
MOH-71016	MOH-71016	THALAWA	LK-7	LK-71	EC-17	[8.1843073058402, 80.3772435802607]
MOH-71017	MOH-71017	NOCHCHIYAGAMA	LK-7	LK-71	EC-17	[8.332151789611876, 80.12478486978769]
MOH-71018	MOH-71018	PALAGALA	LK-7	LK-71	EC-17	[7.906170965336567, 80.53780135710596]
MOH-71019	MOH-71019	RAJANGANAYA	LK-7	LK-71	EC-17	[8.182828451464971, 80.18542059930463]
MOH-61001	MOH-61001	Galgamuwa	LK-6	LK-61	EC-15	[7.997383006407242, 80.29641071668316]
MOH-61002	MOH-61002	Ambanpola	LK-6	LK-61	EC-15	[7.907975096540792, 80.22392523640359]
MOH-61003	MOH-61003	Ganewatta	LK-6	LK-61	EC-15	[7.656100729031862, 80.37077971110968]
