pd_id	pd_name	pop_2012	electors_2020	pop_per_elector
EC-08E	Devinuwara	102925.0	78573.0	1.3099283468876077
EC-18C	Polonnaruwa	195857.0	149466.0	1.3103782800101695
EC-17F	Mihinthale	85760.0	65424.0	1.3108339447297628
EC-19H	Bandarawela	110683.0	84346.0	1.312249543546819
EC-08F	Matara	115805.0	88130.0	1.314024736185181
EC-22H	Ruwanwella	99127.0	75410.0	1.3145073597666093
EC-20B	Monaragala	143663.0	109221.0	1.3153422876553045
EC-13D	Pothuvil	212947.0	161839.0	1.3157953274550633
EC-01L	Homagama	252469.0	191627.0	1.3175022308964812
EC-10F	Udupiddy	51768.0	39270.0	1.3182582123758595
EC-02A	Wattala	175525.0	133103.0	1.318715581166465
EC-03D	Bulathsinhala	109739.0	83201.0	1.3189625124698021
EC-03F	Kalutara	159697.0	120922.0	1.3206612527083574
EC-14C	Muttur	141440.0	107063.0	1.3210913200638876
EC-07I	Akmeemana	128107.0	96897.0	1.3220945952919079
EC-08A	Deniyaya	134150.0	101219.0	1.3253440559578735
EC-03A	Panadura	160089.0	120770.0	1.325569263890039
EC-13C	Kalmunai	99893.0	75020.0	1.3315515862436684
EC-10A	Kayts	30442.0	22811.0	1.3345315856385078
EC-01J	Kaduwela	252041.0	188469.0	1.3373074617045775
EC-10B	Vaddukoddai	65023.0	48611.0	1.3376190574149884
EC-22I	Deraniyagala	91970.0	68678.0	1.3391479076268966
EC-03G	Beruwala	164969.0	123063.0	1.3405247718648172
EC-04H	Senkadagala	112393.0	83715.0	1.3425670429433196
EC-01K	Avissawella	164510.0	122257.0	1.3456080224445226
EC-07G	Ratgama	104333.0	77494.0	1.3463364905670117
EC-01G	Ratmalana	95506.0	70528.0	1.3541572141560798
EC-17D	Anuradhapura West	140272.0	103439.0	1.3560842622221791
EC-19G	Welimada	102802.0	75589.0	1.36001270026062
EC-21F	Nivithigala	138256.0	101345.0	1.364211357245054
EC-01N	Kesbewa	245232.0	179289.0	1.367802821143517
EC-21A	Eheliyagoda	135158.0	98535.0	1.3716750393261277
EC-21G	Kalawana	90822.0	66153.0	1.372908258128883
EC-13A	Ampara	221771.0	160809.0	1.3790956973801218
EC-12A	Kalkudah	162149.0	117502.0	1.3799680005446715
EC-17B	Horowpothana	110279.0	79631.0	1.3848752370308046
EC-01D	Colombo East	93260.0	67241.0	1.3869514135720766
EC-19D	Badulla	75042.0	53698.0	1.397482215352527
EC-01A	Colombo North	131012.0	93672.0	1.3986249893244513
EC-01O	Moratuwa	168280.0	119911.0	1.4033741691754718
EC-14A	Seruvila	103849.0	73782.0	1.4075113171234177
EC-01H	Kolonnawa	191687.0	136028.0	1.4091731114182373
EC-17C	Anuradhapura East	137668.0	97398.0	1.413458181892852
EC-17A	Medawachchiya	117151.0	82851.0	1.4139962100638495
EC-01F	Dehiwala	88962.0	62406.0	1.4255360061532545
EC-02L	Biyagama	186585.0	130751.0	1.4270254147195816
EC-01I	Kotte	107883.0	75197.0	1.4346715959413274
EC-10I	Nallur	68142.0	47478.0	1.4352331606217616
EC-01M	Maharagama	196423.0	136304.0	1.4410655593379504
EC-14B	Trincomalee	134252.0	92823.0	1.4463225709145362
EC-02M	Kelaniya	137339.0	94950.0	1.4464349657714586
EC-01C	Borella	89806.0	61897.0	1.4508942275069874
EC-10G	Point Pedro	54293.0	37105.0	1.4632259803261016
EC-16A	Puttalam	220047.0	149720.0	1.4697234838364948
EC-10D	Manipay	82501.0	55827.0	1.4777974815053647
EC-10J	Jaffna	50491.0	33886.0	1.490025379212654
EC-11B	Vavuniya	172060.0	114674.0	1.5004272982541815
EC-02C	Katana	235291.0	156287.0	1.5055058962037788
EC-01B	Colombo Central	192211.0	126022.0	1.525217819110949
